team,pa,ab,hits,doubles,triples,hr,bb,hbp,sf,k,runs,avg,obp,slg,ops
arizona diamondbacks,5092.0,4507.333333333333,1109.0,230.33333333333334,32.666666666666664,148.0,448.3333333333333,56.333333333333336,46.666666666666664,1021.3333333333334,627.6666666666666,0.245,0.31833333333333336,0.4076666666666667,0.726
athletics,5071.0,4544.333333333333,1123.6666666666667,222.0,12.666666666666666,166.33333333333334,430.6666666666667,50.0,26.333333333333332,1159.3333333333333,588.3333333333334,0.24633333333333332,0.3173333333333333,0.40900000000000003,0.7263333333333333
atlanta braves,5052.666666666667,4530.666666666667,1120.3333333333333,207.66666666666666,12.333333333333334,169.33333333333334,426.3333333333333,49.0,35.333333333333336,1100.3333333333333,628.6666666666666,0.24766666666666667,0.316,0.4116666666666666,0.7276666666666666
baltimore orioles,5002.0,4433.333333333333,1041.6666666666667,199.66666666666666,18.333333333333332,155.66666666666666,468.0,54.333333333333336,33.666666666666664,1215.0,581.0,0.235,0.31433333333333335,0.39333333333333337,0.7076666666666666
boston red sox,5036.666666666667,4485.333333333333,1123.3333333333333,250.0,20.0,140.66666666666666,417.3333333333333,70.66666666666667,39.666666666666664,1118.3333333333333,611.3333333333334,0.25,0.3213333333333333,0.4076666666666667,0.729
chicago cubs,5188.666666666667,4561.666666666667,1138.3333333333333,222.33333333333334,23.0,173.0,523.3333333333334,56.666666666666664,39.0,1107.6666666666667,673.6666666666666,0.24966666666666668,0.33266666666666667,0.42133333333333334,0.754
chicago white sox,4962.333333333333,4408.333333333333,1036.6666666666667,201.0,10.666666666666666,156.33333333333334,433.3333333333333,63.0,31.333333333333332,1166.0,587.0,0.2353333333333333,0.312,0.39433333333333337,0.7063333333333333
cincinnati reds,4958.0,4411.333333333333,1037.6666666666667,198.0,15.0,158.33333333333334,458.3333333333333,41.666666666666664,31.333333333333332,1213.6666666666667,560.0,0.23433333333333337,0.311,0.395,0.706
cleveland guardians,4963.666666666667,4400.0,1011.0,197.0,13.333333333333334,132.0,453.3333333333333,47.333333333333336,36.666666666666664,1108.0,529.6666666666666,0.23,0.3073333333333333,0.37033333333333335,0.6776666666666668
colorado rockies,4986.0,4498.666666666667,1116.3333333333333,229.0,28.333333333333332,142.66666666666666,375.6666666666667,56.0,38.333333333333336,1193.6666666666667,577.6666666666666,0.24966666666666668,0.3136666666666667,0.4093333333333333,0.723
detroit tigers,5032.333333333333,4477.333333333333,1096.6666666666667,200.66666666666666,28.0,162.0,452.3333333333333,51.0,40.666666666666664,1163.3333333333333,612.0,0.245,0.31866666666666665,0.41033333333333327,0.729
houston astros,5067.666666666667,4530.0,1118.0,203.0,10.666666666666666,168.66666666666666,428.3333333333333,61.666666666666664,30.666666666666668,1084.3333333333333,599.3333333333334,0.24666666666666667,0.31833333333333336,0.409,0.7273333333333333
kansas city royals,4995.333333333333,4489.0,1102.6666666666667,242.0,18.0,134.33333333333334,391.6666666666667,51.0,39.666666666666664,992.6666666666666,548.3333333333334,0.24566666666666667,0.311,0.39766666666666667,0.7086666666666667
los angeles angels,4978.666666666667,4447.333333333333,1027.0,187.33333333333334,13.0,158.0,413.3333333333333,73.0,27.0,1298.3333333333333,547.6666666666666,0.23166666666666666,0.306,0.38433333333333336,0.6903333333333332
los angeles dodgers,5095.666666666667,4499.666666666667,1158.6666666666667,215.66666666666666,15.0,182.0,490.6666666666667,46.0,44.0,1071.0,673.0,0.25833333333333336,0.33433333333333337,0.433,0.7673333333333333
miami marlins,5030.666666666667,4486.333333333333,1124.6666666666667,220.66666666666666,27.666666666666668,131.33333333333334,426.6666666666667,59.333333333333336,39.333333333333336,1059.6666666666667,585.6666666666666,0.25066666666666665,0.322,0.401,0.723
milwaukee brewers,5140.333333333333,4510.0,1149.0,229.66666666666666,19.333333333333332,128.66666666666666,516.0,43.666666666666664,36.666666666666664,1080.0,660.0,0.254,0.33466666666666667,0.39966666666666667,0.7343333333333333
minnesota twins,5049.0,4506.0,1089.6666666666667,211.0,18.666666666666668,159.0,427.6666666666667,72.66666666666667,34.666666666666664,1105.3333333333333,600.6666666666666,0.242,0.316,0.4036666666666666,0.7196666666666666
new york mets,5075.333333333333,4515.666666666667,1089.6666666666667,188.0,17.0,171.33333333333334,445.6666666666667,57.0,37.666666666666664,1123.6666666666667,593.3333333333334,0.24033333333333332,0.3133333333333333,0.40166666666666667,0.715
new york yankees,5017.0,4430.333333333333,1057.0,201.66666666666666,16.666666666666668,202.66666666666666,502.3333333333333,36.333333333333336,36.0,1209.6666666666667,637.0,0.23700000000000002,0.31666666666666665,0.42566666666666664,0.7423333333333333
philadelphia phillies,5055.333333333333,4519.666666666667,1113.3333333333333,201.33333333333334,20.666666666666668,170.0,427.3333333333333,54.0,40.666666666666664,1135.0,615.3333333333334,0.24466666666666667,0.3153333333333333,0.4103333333333334,0.7256666666666667
pittsburgh pirates,5126.666666666667,4558.333333333333,1124.0,206.33333333333334,15.0,135.66666666666666,467.3333333333333,60.0,29.333333333333332,1230.6666666666667,595.6666666666666,0.24766666666666667,0.32433333333333336,0.3913333333333333,0.7156666666666668
san diego padres,4993.666666666667,4438.0,1077.6666666666667,202.66666666666666,13.333333333333334,137.33333333333334,440.6666666666667,49.333333333333336,35.666666666666664,1037.0,572.0,0.24133333333333332,0.315,0.3873333333333333,0.7023333333333333
san francisco giants,4994.0,4490.333333333333,1091.0,213.66666666666666,24.666666666666668,146.33333333333334,392.6666666666667,48.0,40.666666666666664,1084.6666666666667,560.3333333333334,0.24433333333333332,0.3076666666666667,0.40066666666666667,0.7083333333333334
seattle mariners,5016.0,4451.333333333333,1047.6666666666667,172.66666666666666,9.666666666666666,170.66666666666666,439.3333333333333,78.33333333333333,31.333333333333332,1158.0,563.3333333333334,0.23399999999999999,0.312,0.38999999999999996,0.702
st. louis cardinals,5027.666666666667,4470.333333333333,1083.6666666666667,200.0,11.0,130.0,418.0,76.66666666666667,39.333333333333336,1050.3333333333333,576.3333333333334,0.24233333333333332,0.3153333333333333,0.37966666666666665,0.695
tampa bay rays,4980.333333333333,4456.0,1140.0,193.33333333333334,18.0,141.33333333333334,413.3333333333333,44.666666666666664,35.666666666666664,1028.3333333333333,590.6666666666666,0.25633333333333336,0.3236666666666667,0.4023333333333334,0.726
