team,pa,ab,hits,doubles,triples,hr,bb,hbp,sf,k,runs,avg,obp,slg,ops
arizona diamondbacks,5908.0,5227.333333333333,1286.3333333333333,262.3333333333333,36.666666666666664,172.0,520.3333333333334,63.666666666666664,54.666666666666664,1184.6666666666667,713.6666666666666,0.24566666666666667,0.319,0.4083333333333334,0.7273333333333333
athletics,5867.0,5263.0,1303.6666666666667,251.33333333333334,14.666666666666666,195.0,494.6666666666667,59.333333333333336,28.333333333333332,1327.3333333333333,682.3333333333334,0.24766666666666667,0.318,0.4116666666666667,0.7296666666666667
atlanta braves,5848.666666666667,5256.666666666667,1296.3333333333333,240.33333333333334,13.666666666666666,191.33333333333334,484.3333333333333,53.0,41.333333333333336,1276.3333333333333,709.3333333333334,0.247,0.314,0.40700000000000003,0.721
baltimore orioles,5837.333333333333,5188.666666666667,1217.0,231.66666666666666,19.0,186.33333333333334,533.3333333333334,63.666666666666664,37.0,1437.6666666666667,679.6666666666666,0.23433333333333337,0.3116666666666667,0.39399999999999996,0.7056666666666667
boston red sox,5883.333333333333,5231.333333333333,1308.0,288.6666666666667,24.0,166.0,494.6666666666667,84.66666666666667,44.333333333333336,1295.0,705.3333333333334,0.25,0.32266666666666666,0.40900000000000003,0.7316666666666666
chicago cubs,6046.0,5307.0,1329.0,261.0,25.0,213.0,611.3333333333334,68.66666666666667,47.666666666666664,1267.6666666666667,803.6666666666666,0.25033333333333335,0.33266666666666667,0.42933333333333334,0.762
chicago white sox,5846.333333333333,5174.333333333333,1210.6666666666667,238.33333333333334,14.666666666666666,184.33333333333334,533.3333333333334,77.0,34.0,1386.6666666666667,687.6666666666666,0.23399999999999999,0.3133333333333333,0.393,0.7063333333333333
cincinnati reds,5797.333333333333,5163.333333333333,1209.6666666666667,223.33333333333334,15.666666666666666,189.0,530.3333333333334,48.333333333333336,39.333333333333336,1435.0,655.3333333333334,0.23433333333333337,0.309,0.39366666666666666,0.7026666666666666
cleveland guardians,5809.666666666667,5158.0,1201.6666666666667,236.33333333333334,15.333333333333334,153.33333333333334,522.0,56.666666666666664,44.0,1253.3333333333333,632.3333333333334,0.2333333333333333,0.308,0.37366666666666665,0.6816666666666666
colorado rockies,5812.666666666667,5231.333333333333,1299.6666666666667,265.0,35.666666666666664,165.33333333333334,448.3333333333333,67.33333333333333,43.666666666666664,1385.0,673.6666666666666,0.249,0.3136666666666667,0.408,0.7216666666666667
detroit tigers,5859.666666666667,5212.666666666667,1262.0,240.0,33.333333333333336,180.0,527.6666666666666,61.666666666666664,44.666666666666664,1358.0,707.3333333333334,0.24233333333333332,0.31666666666666665,0.4043333333333334,0.721
houston astros,5820.333333333333,5208.0,1266.0,230.33333333333334,16.0,194.0,485.6666666666667,71.0,36.666666666666664,1259.0,677.3333333333334,0.24266666666666667,0.31433333333333335,0.4056666666666667,0.7200000000000001
kansas city royals,5780.666666666667,5183.666666666667,1274.0,278.0,20.0,157.0,467.0,58.333333333333336,43.0,1156.0,641.0,0.24566666666666667,0.313,0.3983333333333334,0.7113333333333333
los angeles angels,5766.0,5146.666666666667,1187.0,223.33333333333334,15.0,172.66666666666666,471.3333333333333,89.66666666666667,31.666666666666668,1497.6666666666667,632.3333333333334,0.231,0.30466666666666664,0.38033333333333336,0.685
los angeles dodgers,5915.666666666667,5207.0,1323.3333333333333,249.0,18.333333333333332,206.66666666666666,582.0,61.333333333333336,48.666666666666664,1241.0,774.3333333333334,0.25433333333333336,0.3336666666666667,0.42766666666666664,0.7613333333333333
miami marlins,5876.666666666667,5226.333333333333,1304.0,246.0,33.0,155.33333333333334,507.3333333333333,76.0,45.333333333333336,1255.0,687.6666666666666,0.24933333333333332,0.32266666666666666,0.3983333333333334,0.721
milwaukee brewers,5997.666666666667,5260.0,1361.6666666666667,265.0,22.666666666666668,152.66666666666666,605.3333333333334,50.333333333333336,44.666666666666664,1266.6666666666667,790.6666666666666,0.25866666666666666,0.33866666666666667,0.405,0.7436666666666666
minnesota twins,5824.333333333333,5199.333333333333,1257.0,245.66666666666666,21.333333333333332,180.33333333333334,486.3333333333333,88.66666666666667,39.333333333333336,1258.6666666666667,684.6666666666666,0.242,0.3153333333333333,0.40166666666666667,0.717
new york mets,5852.666666666667,5217.0,1261.6666666666667,217.33333333333334,18.333333333333332,201.33333333333334,513.6666666666666,60.333333333333336,41.0,1289.6666666666667,688.0,0.24166666666666667,0.31466666666666665,0.4056666666666667,0.7203333333333334
new york yankees,5829.0,5155.666666666667,1241.6666666666667,228.33333333333334,18.0,230.66666666666666,571.6666666666666,43.0,43.333333333333336,1407.0,745.0,0.24033333333333332,0.31866666666666665,0.42566666666666664,0.7443333333333334
philadelphia phillies,5828.666666666667,5215.0,1292.0,238.66666666666666,22.666666666666668,188.66666666666666,492.0,58.666666666666664,47.333333333333336,1274.3333333333333,711.3333333333334,0.24733333333333332,0.31666666666666665,0.4103333333333334,0.727
pittsburgh pirates,5903.333333333333,5251.666666666667,1289.3333333333333,231.0,17.0,153.0,533.3333333333334,70.66666666666667,32.0,1410.6666666666667,673.6666666666666,0.24566666666666667,0.3216666666666667,0.38400000000000006,0.7056666666666667
san diego padres,5785.0,5135.333333333333,1256.3333333333333,230.0,18.0,163.33333333333334,516.6666666666666,55.333333333333336,43.0,1196.3333333333333,667.3333333333334,0.244,0.3176666666666667,0.39200000000000007,0.7096666666666667
san francisco giants,5836.0,5233.0,1271.6666666666667,247.0,26.0,173.66666666666666,470.6666666666667,56.0,44.666666666666664,1278.6666666666667,664.3333333333334,0.243,0.3096666666666667,0.39999999999999997,0.7096666666666667
seattle mariners,5866.666666666667,5201.333333333333,1229.6666666666667,203.33333333333334,14.333333333333334,196.0,522.6666666666666,89.0,36.0,1362.6666666666667,666.6666666666666,0.236,0.31466666666666665,0.3933333333333333,0.7079999999999999
st. louis cardinals,5880.333333333333,5235.666666666667,1274.3333333333333,234.66666666666666,12.333333333333334,154.66666666666666,482.0,90.0,48.666666666666664,1239.0,688.3333333333334,0.24366666666666667,0.3153333333333333,0.38166666666666665,0.697
tampa bay rays,5787.666666666667,5182.0,1332.6666666666667,218.0,20.0,168.66666666666666,472.6666666666667,52.666666666666664,42.333333333333336,1159.6666666666667,694.0,0.257,0.323,0.40499999999999997,0.7280000000000001
texas rangers,5779.333333333333,5159.666666666667,1238.3333333333333,227.0,19.666666666666668,173.66666666666666,489.3333333333333,67.66666666666667,34.666666666666664,1302.3333333333333,646.6666666666666,0.24,0.312,0.393,0.7050000000000001
toronto blue jays,5850.0,5255.0,1336.3333333333333,258.6666666666667,9.666666666666666,162.33333333333334,459.3333333333333,58.333333333333336,45.666666666666664,1093.6666666666667,675.3333333333334,0.25366666666666665,0.31833333333333336,0.399,0.7173333333333334
washington nationals,5880.0,5260.0,1294.3333333333333,265.3333333333333,29.333333333333332,187.0,498.3333333333333,64.33333333333333,36.0,1299.0,747.6666666666666,0.246,0.3173333333333333,0.4143333333333333,0.7316666666666666
