type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Moneyline,Seattle Mariners ML,-125.0,0.0925,0.5325,0.625,True,0.8,2026-06-06,Detroit Tigers vs Seattle Mariners
Total,UNDER 9.0,-119.0,0.1711,0.5183,0.6895,True,0.8403,2026-06-06,Detroit Tigers vs Seattle Mariners
Moneyline,Minnesota Twins ML,-145.0,0.0834,0.5656,0.649,False,-1.0,2026-06-06,Minnesota Twins vs Kansas City Royals
Moneyline,St. Louis Cardinals ML,-125.0,0.1335,0.5325,0.666,True,0.8,2026-06-06,St. Louis Cardinals vs Cincinnati Reds
Total,UNDER 9.0,-105.0,0.1829,0.4892,0.672,False,-1.0,2026-06-06,St. Louis Cardinals vs Cincinnati Reds
Total,OVER  7.5,-110.0,0.121,0.5,0.621,False,-1.0,2026-06-06,Chicago Cubs vs San Francisco Giants
Moneyline,Chicago White Sox ML,118.0,0.25,0.4398,0.78,True,1.18,2026-06-06,Philadelphia Phillies vs Chicago White Sox
Total,UNDER 10.0,-107.0,0.1975,0.4935,0.691,True,0.9346,2026-06-06,Philadelphia Phillies vs Chicago White Sox
Moneyline,Washington Nationals ML,129.5,0.25,0.4175,0.777,True,1.295,2026-06-06,Arizona Diamondbacks vs Washington Nationals
Total,UNDER 9.0,-117.0,0.0989,0.514,0.6129,True,0.8547,2026-06-06,Arizona Diamondbacks vs Washington Nationals
Moneyline,Houston Astros ML,-127.5,0.2379,0.5371,0.775,True,0.7843,2026-06-06,Houston Astros vs Athletics
Run Line,Houston Astros -1.5,151.5,0.0851,0.3799,0.465,True,1.515,2026-06-06,Houston Astros vs Athletics
Total,UNDER 9.5,-110.0,0.1541,0.5,0.6541,False,-1.0,2026-06-06,Houston Astros vs Athletics
Total,OVER  8.0,-105.5,0.0956,0.4897,0.5854,True,0.9479,2026-06-06,Atlanta Braves vs Pittsburgh Pirates
Moneyline,Tampa Bay Rays ML,-130.5,0.0558,0.5432,0.599,False,-1.0,2026-06-06,Miami Marlins vs Tampa Bay Rays
Total,UNDER 7.5,-110.0,0.1268,0.5,0.6268,True,0.9091,2026-06-06,Texas Rangers vs Cleveland Guardians
Total,UNDER 11.0,-114.5,0.1897,0.5103,0.7,True,0.8734,2026-06-06,Colorado Rockies vs Milwaukee Brewers
Total,UNDER 8.5,-105.0,0.0893,0.4892,0.5785,False,-1.0,2026-06-06,Los Angeles Dodgers vs Los Angeles Angels
Moneyline,New York Mets ML,-125.0,0.1915,0.5325,0.724,False,-1.0,2026-06-06,San Diego Padres vs New York Mets
