date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,model_bias,ou_line,ou_result
2026-07-19,Toronto Blue Jays,Chicago White Sox,0,3,3,Chicago White Sox,Chicago White Sox,22.3,77.7,True,77.7,9.01,6.01,True,HIGH,8.0,UNDER
2026-07-19,New York Yankees (DH-1),Los Angeles Dodgers,2,8,10,Los Angeles Dodgers,New York Yankees,52.6,47.4,False,52.6,7.15,2.8499999999999996,False,LOW,7.5,OVER
2026-07-19,New York Yankees (DH-2),Los Angeles Dodgers,2,1,3,New York Yankees,Los Angeles Dodgers,49.2,50.8,False,50.8,8.04,5.039999999999999,False,HIGH,7.5,UNDER
2026-07-19,Boston Red Sox,Tampa Bay Rays,6,1,7,Boston Red Sox,Boston Red Sox,76.9,23.1,True,76.9,8.96,1.9600000000000009,True,HIGH,8.5,UNDER
2026-07-19,Philadelphia Phillies,New York Mets,1,6,7,New York Mets,New York Mets,45.1,54.9,True,54.9,10.66,3.66,True,HIGH,8.5,UNDER
2026-07-19,Atlanta Braves,Texas Rangers,8,5,13,Atlanta Braves,Atlanta Braves,50.2,49.8,True,50.2,10.96,2.039999999999999,True,LOW,8.5,OVER
2026-07-19,Cleveland Guardians,Pittsburgh Pirates,1,7,8,Pittsburgh Pirates,Pittsburgh Pirates,24.8,75.2,True,75.2,8.74,0.7400000000000002,True,HIGH,6.75,OVER
2026-07-19,Houston Astros,Baltimore Orioles,2,5,7,Baltimore Orioles,Baltimore Orioles,27.0,73.0,True,73.0,9.32,2.3200000000000003,True,HIGH,8.5,UNDER
2026-07-19,Kansas City Royals,San Diego Padres,2,19,21,San Diego Padres,San Diego Padres,49.6,50.4,True,50.4,10.97,10.03,True,LOW,9.5,OVER
2026-07-19,Milwaukee Brewers,Miami Marlins,3,1,4,Milwaukee Brewers,Miami Marlins,44.5,55.5,False,55.5,8.58,4.58,False,HIGH,8.0,UNDER
2026-07-19,Chicago Cubs,Minnesota Twins,10,1,11,Chicago Cubs,Chicago Cubs,52.1,47.9,True,52.1,8.34,2.66,True,LOW,7.25,OVER
2026-07-19,Colorado Rockies,Cincinnati Reds,6,9,15,Cincinnati Reds,Cincinnati Reds,34.4,65.6,True,65.6,9.44,5.5600000000000005,True,LOW,11.0,OVER
2026-07-19,Athletics,Washington Nationals,2,5,7,Washington Nationals,Washington Nationals,38.0,62.0,True,62.0,10.09,3.09,True,HIGH,10.5,UNDER
2026-07-19,Los Angeles Angels,Detroit Tigers,3,2,5,Los Angeles Angels,Detroit Tigers,22.2,77.8,False,77.8,9.01,4.01,False,HIGH,9.5,UNDER
2026-07-19,Seattle Mariners,San Francisco Giants,6,3,9,Seattle Mariners,San Francisco Giants,48.8,51.2,False,51.2,7.03,1.9699999999999998,False,LOW,7.0,OVER
2026-07-19,Arizona Diamondbacks,St. Louis Cardinals,8,7,15,Arizona Diamondbacks,Arizona Diamondbacks,76.4,23.6,True,76.4,8.92,6.08,False,LOW,9.0,OVER
