date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,model_bias,ou_line,ou_result
2026-08-21,Milwaukee Brewers,Atlanta Braves,2,1,3,Milwaukee Brewers,Milwaukee Brewers,63.2,36.8,True,63.2,7.82,4.82,False,HIGH,5.5,UNDER
2026-08-21,Philadelphia Phillies,St. Louis Cardinals,7,6,13,Philadelphia Phillies,Philadelphia Phillies,64.8,35.2,True,64.8,8.26,4.74,False,LOW,8.0,OVER
2026-08-21,New York Yankees,Toronto Blue Jays,3,1,4,New York Yankees,Toronto Blue Jays,49.9,50.1,False,50.1,7.02,3.0199999999999996,False,HIGH,7.0,UNDER
2026-08-21,Boston Red Sox,San Francisco Giants,6,4,10,Boston Red Sox,Boston Red Sox,78.1,21.9,True,78.1,8.98,1.0199999999999996,True,LOW,7.5,OVER
2026-08-21,Miami Marlins,Washington Nationals,3,2,5,Miami Marlins,Miami Marlins,63.7,36.3,True,63.7,7.82,2.8200000000000003,False,HIGH,7.5,UNDER
2026-08-21,Baltimore Orioles,Tampa Bay Rays,5,3,8,Baltimore Orioles,Tampa Bay Rays,49.1,50.9,False,50.9,10.96,2.960000000000001,False,HIGH,7.5,OVER
2026-08-21,Chicago White Sox,New York Mets,6,4,10,Chicago White Sox,New York Mets,45.4,54.6,False,54.6,7.27,2.7300000000000004,False,LOW,8.0,OVER
2026-08-21,Kansas City Royals,Detroit Tigers,5,2,7,Kansas City Royals,Kansas City Royals,54.8,45.2,True,54.8,8.9,1.9000000000000004,True,HIGH,8.5,UNDER
2026-08-21,Houston Astros,Athletics,4,0,4,Houston Astros,Athletics,49.7,50.3,False,50.3,10.99,6.99,False,HIGH,8.5,UNDER
2026-08-21,Texas Rangers,Los Angeles Angels,2,1,3,Texas Rangers,Los Angeles Angels,49.1,50.9,False,50.9,7.05,4.05,False,HIGH,7.5,UNDER
2026-08-21,Colorado Rockies,Cleveland Guardians,1,9,10,Cleveland Guardians,Cleveland Guardians,44.8,55.2,True,55.2,9.67,0.33000000000000007,True,LOW,10.5,UNDER
2026-08-21,Arizona Diamondbacks,Cincinnati Reds,9,0,9,Arizona Diamondbacks,Arizona Diamondbacks,71.1,28.9,True,71.1,9.42,0.41999999999999993,True,HIGH,8.5,OVER
2026-08-21,San Diego Padres,Minnesota Twins,6,2,8,San Diego Padres,San Diego Padres,76.8,23.2,True,76.8,9.03,1.0299999999999994,True,HIGH,8.0,PUSH
2026-08-21,Los Angeles Dodgers,Pittsburgh Pirates,5,4,9,Los Angeles Dodgers,Los Angeles Dodgers,77.7,22.3,True,77.7,9.0,0.0,False,LOW,8.0,OVER
2026-08-21,Seattle Mariners,Chicago Cubs,6,5,11,Seattle Mariners,Chicago Cubs,22.8,77.2,False,77.2,9.06,1.9399999999999995,False,LOW,7.5,OVER
