date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,model_bias,ou_line,ou_result
2026-06-26,Detroit Tigers,Houston Astros,8,0,8,Detroit Tigers,Houston Astros,49.4,50.6,False,50.6,7.01,0.9900000000000002,False,LOW,9.0,UNDER
2026-06-26,Pittsburgh Pirates,Cincinnati Reds,4,6,10,Cincinnati Reds,Pittsburgh Pirates,66.7,33.3,False,66.7,8.28,1.7200000000000006,False,LOW,7.5,OVER
2026-06-26,Baltimore Orioles,Washington Nationals,3,1,4,Baltimore Orioles,Baltimore Orioles,78.1,21.9,True,78.1,8.97,4.970000000000001,True,HIGH,9.0,UNDER
2026-06-26,Toronto Blue Jays,Texas Rangers,4,5,9,Texas Rangers,Texas Rangers,47.1,52.9,True,52.9,10.76,1.7599999999999998,False,HIGH,8.5,OVER
2026-06-26,Cleveland Guardians,Seattle Mariners,1,3,4,Seattle Mariners,Cleveland Guardians,50.3,49.7,False,50.3,7.01,3.01,False,HIGH,7.5,UNDER
2026-06-26,Tampa Bay Rays,Arizona Diamondbacks,6,1,7,Tampa Bay Rays,Tampa Bay Rays,78.0,22.0,True,78.0,8.98,1.9800000000000004,True,HIGH,8.5,UNDER
2026-06-26,New York Mets,Philadelphia Phillies,1,2,3,Philadelphia Phillies,Philadelphia Phillies,24.0,76.0,True,76.0,9.11,6.109999999999999,False,HIGH,8.5,UNDER
2026-06-26,Boston Red Sox,New York Yankees,6,1,7,Boston Red Sox,Boston Red Sox,59.0,41.0,True,59.0,7.48,0.4800000000000004,True,HIGH,8.5,UNDER
2026-06-26,Chicago White Sox,Kansas City Royals,22,1,23,Chicago White Sox,Chicago White Sox,50.4,49.6,True,50.4,10.98,12.02,True,LOW,8.75,OVER
2026-06-26,Milwaukee Brewers,Chicago Cubs,6,2,8,Milwaukee Brewers,Milwaukee Brewers,75.7,24.3,True,75.7,9.21,1.2100000000000009,True,HIGH,7.0,OVER
2026-06-26,Minnesota Twins,Colorado Rockies,9,8,17,Minnesota Twins,Minnesota Twins,50.9,49.1,True,50.9,11.0,6.0,False,LOW,9.0,OVER
2026-06-26,St. Louis Cardinals,Miami Marlins,0,4,4,Miami Marlins,Miami Marlins,27.1,72.9,True,72.9,8.64,4.640000000000001,True,HIGH,8.0,UNDER
2026-06-26,Los Angeles Angels,Athletics,3,9,12,Athletics,Athletics,49.7,50.3,True,50.3,11.01,0.9900000000000002,True,LOW,8.5,OVER
2026-06-26,San Diego Padres,Los Angeles Dodgers,7,1,8,San Diego Padres,San Diego Padres,60.5,39.5,True,60.5,7.56,0.4400000000000004,True,LOW,7.5,OVER
2026-06-26,San Francisco Giants,Atlanta Braves,1,3,4,Atlanta Braves,San Francisco Giants,70.4,29.6,False,70.4,8.42,4.42,False,HIGH,8.5,UNDER
