type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Moneyline,Cleveland Guardians ML,-146.5,0.2085,0.5705,0.779,True,0.6826,2026-09-04,Cleveland Guardians vs Detroit Tigers
Moneyline,Cleveland Guardians ML,-146.5,0.2135,0.5705,0.784,True,0.6826,2026-09-04,Cleveland Guardians vs Detroit Tigers
Moneyline,Milwaukee Brewers ML,-157.0,0.1101,0.5879,0.698,True,0.6369,2026-09-04,Cincinnati Reds vs Milwaukee Brewers
Total,UNDER 9.5,-110.0,0.2,0.5,0.7175,False,-1.0,2026-09-04,Cincinnati Reds vs Milwaukee Brewers
Run Line,Philadelphia Phillies +1.5,-207.5,0.1346,0.6413,0.776,False,-1.0,2026-09-04,Philadelphia Phillies vs Atlanta Braves
Total,OVER  7.0,-1.0,0.2,0.0179,0.2314,False,-1.0,2026-09-04,Philadelphia Phillies vs Atlanta Braves
Total,UNDER 8.5,-109.5,0.2,0.4942,0.8471,True,0.9132,2026-09-04,Pittsburgh Pirates vs Los Angeles Angels
Moneyline,Baltimore Orioles ML,-102.0,0.2374,0.4836,0.721,False,-1.0,2026-09-04,Baltimore Orioles vs Boston Red Sox
Run Line,San Francisco Giants +1.5,-125.0,0.1752,0.5337,0.7088,False,-1.0,2026-09-04,New York Mets vs San Francisco Giants
Total,OVER  7.5,-114.0,0.1268,0.5087,0.6355,True,0.8772,2026-09-04,New York Mets vs San Francisco Giants
Run Line,Chicago Cubs -1.5,100.0,0.1888,0.4783,0.667,True,1.0,2026-09-04,Miami Marlins vs Chicago Cubs
Moneyline,Minnesota Twins ML,106.0,0.1191,0.4659,0.585,False,-1.0,2026-09-04,Chicago White Sox vs Minnesota Twins
Run Line,Texas Rangers +1.5,-192.5,0.0967,0.6266,0.7233,True,0.5195,2026-09-04,Texas Rangers vs Tampa Bay Rays
Total,UNDER 8.5,-5.0,0.2,0.0816,0.8349,True,10.0,2026-09-04,Houston Astros vs Arizona Diamondbacks
Total,UNDER 10.0,-114.5,0.2,0.5103,0.7458,False,-1.0,2026-09-04,Kansas City Royals vs Toronto Blue Jays
Total,UNDER 11.0,-113.5,0.2,0.5076,0.796,False,-1.0,2026-09-04,Colorado Rockies vs St. Louis Cardinals
Moneyline,New York Yankees ML,-113.0,0.1318,0.5082,0.64,False,-1.0,2026-09-04,San Diego Padres vs New York Yankees
Run Line,New York Yankees -1.5,150.0,0.1537,0.3813,0.5349,False,-1.0,2026-09-04,San Diego Padres vs New York Yankees
Run Line,Washington Nationals +1.5,102.5,0.1412,0.4728,0.614,False,-1.0,2026-09-04,Los Angeles Dodgers vs Washington Nationals
Total,UNDER 8.0,-110.0,0.2,0.5,0.7456,False,-1.0,2026-09-04,Los Angeles Dodgers vs Washington Nationals
Run Line,Athletics +1.5,-120.0,0.1045,0.5217,0.6263,True,0.8333,2026-09-04,Seattle Mariners vs Athletics
Total,OVER  7.0,-119.0,0.1765,0.5183,0.6949,True,0.8403,2026-09-04,Seattle Mariners vs Athletics
