type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Moneyline,Toronto Blue Jays ML,-118.0,0.1368,0.5332,0.67,False,-1.0,2026-05-15,Detroit Tigers vs Toronto Blue Jays
Moneyline,Cleveland Guardians ML,-132.0,0.1729,0.5581,0.731,False,-1.0,2026-05-15,Cleveland Guardians vs Cincinnati Reds
Run Line,Cleveland Guardians -1.5,155.0,0.0563,0.3823,0.4386,False,-1.0,2026-05-15,Cleveland Guardians vs Cincinnati Reds
Moneyline,Tampa Bay Rays ML,-114.0,0.25,0.5232,0.78,True,0.8772,2026-05-15,Tampa Bay Rays vs Miami Marlins
Moneyline,Milwaukee Brewers ML,-105.0,0.2126,0.5024,0.715,True,0.9524,2026-05-15,Minnesota Twins vs Milwaukee Brewers
Total,UNDER 8.5,105.0,0.139,0.475,0.614,True,1.05,2026-05-15,Minnesota Twins vs Milwaukee Brewers
Total,UNDER 7.5,-109.0,0.1143,0.5118,0.6261,True,0.9174,2026-05-15,Atlanta Braves vs Boston Red Sox
Moneyline,Chicago Cubs ML,-121.0,0.105,0.536,0.641,True,0.8264,2026-05-15,Chicago White Sox vs Chicago Cubs
Total,UNDER 8.5,-106.0,0.1977,0.5023,0.7,True,0.9434,2026-05-15,Houston Astros vs Texas Rangers
Moneyline,St. Louis Cardinals ML,-103.0,0.2154,0.4976,0.713,True,0.9709,2026-05-15,St. Louis Cardinals vs Kansas City Royals
Total,UNDER 8.5,-101.0,0.1258,0.4907,0.6165,False,-1.0,2026-05-15,St. Louis Cardinals vs Kansas City Royals
Moneyline,Arizona Diamondbacks ML,-114.0,0.25,0.522,0.78,True,0.8772,2026-05-15,Colorado Rockies vs Arizona Diamondbacks
Total,UNDER 11.5,100.0,0.2,0.4873,0.7,True,1.0,2026-05-15,Colorado Rockies vs Arizona Diamondbacks
Moneyline,Los Angeles Dodgers ML,-182.0,0.1402,0.6328,0.773,True,0.5495,2026-05-15,Los Angeles Angels vs Los Angeles Dodgers
Total,UNDER 9.5,-115.0,0.1256,0.5254,0.651,True,0.8696,2026-05-15,Los Angeles Angels vs Los Angeles Dodgers
Total,UNDER 7.5,-123.0,0.09,0.5355,0.6255,True,0.813,2026-05-15,Seattle Mariners vs San Diego Padres
Moneyline,Athletics ML,-123.0,0.2415,0.5425,0.784,True,0.813,2026-05-15,Athletics vs San Francisco Giants
Run Line,Athletics -1.5,151.0,0.0813,0.3891,0.4704,True,1.51,2026-05-15,Athletics vs San Francisco Giants
Total,UNDER 9.5,105.0,0.1759,0.477,0.6529,True,1.05,2026-05-15,Athletics vs San Francisco Giants
