date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,model_bias,ou_line,ou_result
2026-07-01,Baltimore Orioles,Chicago White Sox,6,1,7,Baltimore Orioles,Chicago White Sox,29.5,70.5,False,70.5,9.5,2.5,False,HIGH,10.0,UNDER
2026-07-01,Cleveland Guardians,Texas Rangers,9,4,13,Cleveland Guardians,Texas Rangers,47.2,52.8,False,52.8,7.12,5.88,False,LOW,7.5,OVER
2026-07-01,Boston Red Sox,Washington Nationals,2,10,12,Washington Nationals,Washington Nationals,44.9,55.1,True,55.1,9.92,2.08,True,LOW,9.5,OVER
2026-07-01,New York Yankees,Detroit Tigers,2,6,8,Detroit Tigers,Detroit Tigers,22.3,77.7,True,77.7,9.02,1.0199999999999996,True,HIGH,9.5,UNDER
2026-07-01,Chicago Cubs,San Diego Padres,23,3,26,Chicago Cubs,Chicago Cubs,77.6,22.4,True,77.6,8.99,17.009999999999998,True,LOW,12.0,OVER
2026-07-01,Toronto Blue Jays,New York Mets,9,3,12,Toronto Blue Jays,Toronto Blue Jays,65.6,34.4,True,65.6,8.01,3.99,True,LOW,8.5,OVER
2026-07-01,Philadelphia Phillies,Pittsburgh Pirates,10,6,16,Philadelphia Phillies,Pittsburgh Pirates,49.8,50.2,False,50.2,10.95,5.050000000000001,False,LOW,8.0,OVER
2026-07-01,Atlanta Braves,St. Louis Cardinals,5,1,6,Atlanta Braves,Atlanta Braves,50.1,49.9,True,50.1,6.98,0.9800000000000004,True,HIGH,9.0,UNDER
2026-07-01,Kansas City Royals,Tampa Bay Rays,0,4,4,Tampa Bay Rays,Tampa Bay Rays,22.4,77.6,True,77.6,9.01,5.01,True,HIGH,10.5,UNDER
2026-07-01,Houston Astros,Minnesota Twins,3,8,11,Minnesota Twins,Minnesota Twins,49.1,50.9,True,50.9,11.0,0.0,True,LOW,8.5,OVER
2026-07-01,Milwaukee Brewers,Cincinnati Reds,4,2,6,Milwaukee Brewers,Milwaukee Brewers,77.6,22.4,True,77.6,8.98,2.9800000000000004,True,HIGH,9.0,UNDER
2026-07-01,Colorado Rockies,Miami Marlins,6,3,9,Colorado Rockies,Miami Marlins,23.5,76.5,False,76.5,9.17,0.16999999999999993,False,HIGH,11.0,UNDER
2026-07-01,Athletics,Los Angeles Dodgers,7,1,8,Athletics,Los Angeles Dodgers,42.5,57.5,False,57.5,10.48,2.4800000000000004,False,HIGH,11.0,UNDER
2026-07-01,Arizona Diamondbacks,San Francisco Giants,4,6,10,San Francisco Giants,Arizona Diamondbacks,50.1,49.9,False,50.1,6.98,3.0199999999999996,False,LOW,9.5,OVER
