type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Moneyline,St. Louis Cardinals ML,-110.5,0.1031,0.5039,0.607,True,0.905,2026-06-13,Minnesota Twins vs St. Louis Cardinals
Moneyline,New York Yankees ML,-117.5,0.25,0.5163,0.768,True,0.8511,2026-06-13,Toronto Blue Jays vs New York Yankees
Run Line,New York Yankees +1.5,142.5,0.0651,0.3957,0.4608,True,1.425,2026-06-13,Toronto Blue Jays vs New York Yankees
Moneyline,Baltimore Orioles ML,-122.5,0.1515,0.5265,0.678,False,-1.0,2026-06-13,Baltimore Orioles vs San Diego Padres
Total,UNDER 10.0,-104.0,0.1536,0.487,0.6406,False,-1.0,2026-06-13,Baltimore Orioles vs San Diego Padres
Moneyline,Miami Marlins ML,-109.0,0.25,0.4978,0.77,False,-1.0,2026-06-13,Pittsburgh Pirates vs Miami Marlins
Run Line,Miami Marlins +1.5,145.0,0.0729,0.3891,0.462,False,-1.0,2026-06-13,Pittsburgh Pirates vs Miami Marlins
Total,UNDER 9.5,-116.0,0.1417,0.513,0.6547,True,0.8621,2026-06-13,Pittsburgh Pirates vs Miami Marlins
Total,UNDER 9.5,-110.0,0.2,0.5,0.7,True,0.9091,2026-06-13,Cincinnati Reds vs Arizona Diamondbacks
Moneyline,Detroit Tigers ML,-143.0,0.2039,0.5631,0.767,False,-1.0,2026-06-13,Cleveland Guardians vs Detroit Tigers
Total,UNDER 7.75,-120.0,0.1396,0.5034,0.643,False,-1.0,2026-06-13,Boston Red Sox vs Texas Rangers
Total,UNDER 8.5,-106.5,0.1907,0.4924,0.6831,True,0.939,2026-06-13,New York Mets vs Atlanta Braves
Total,UNDER 14.5,-105.0,0.2,0.4892,0.7,True,0.9524,2026-06-13,Athletics vs Colorado Rockies
Moneyline,Los Angeles Angels ML,-105.0,0.25,0.4892,0.771,True,0.9524,2026-06-13,Los Angeles Angels vs Tampa Bay Rays
Total,UNDER 8.5,-115.0,0.0682,0.5097,0.5779,True,0.8696,2026-06-13,Los Angeles Angels vs Tampa Bay Rays
