type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Moneyline,New York Yankees ML,-123.5,0.1665,0.5305,0.697,True,0.8097,2026-03-25,San Francisco Giants vs New York Yankees
Moneyline,Pittsburgh Pirates ML,103.5,0.25,0.473,0.765,False,-1.0,2026-03-26,New York Mets vs Pittsburgh Pirates
Total,OVER  7.5,-115.0,0.094,0.5108,0.6048,True,0.8696,2026-03-26,Milwaukee Brewers vs Chicago White Sox
Moneyline,Chicago Cubs ML,-210.0,0.0594,0.6486,0.708,False,-1.0,2026-03-26,Chicago Cubs vs Washington Nationals
Moneyline,Cincinnati Reds ML,135.0,0.25,0.4088,0.733,False,-1.0,2026-03-26,Cincinnati Reds vs Boston Red Sox
Moneyline,Los Angeles Angels ML,153.5,0.25,0.378,0.688,True,1.535,2026-03-26,Houston Astros vs Los Angeles Angels
Total,OVER  8.0,-110.0,0.0829,0.5,0.5829,True,0.9091,2026-03-26,St. Louis Cardinals vs Tampa Bay Rays
Moneyline,Texas Rangers ML,135.5,0.25,0.4063,0.706,False,-1.0,2026-03-26,Philadelphia Phillies vs Texas Rangers
Moneyline,Los Angeles Dodgers ML,-280.0,0.0626,0.7064,0.769,True,0.3571,2026-03-26,Los Angeles Dodgers vs Arizona Diamondbacks
Total,UNDER 9.0,-115.0,0.1033,0.5108,0.6141,False,-1.0,2026-03-26,Los Angeles Dodgers vs Arizona Diamondbacks
Moneyline,New York Yankees ML,-135.0,0.1896,0.5514,0.741,True,0.7407,2026-03-27,San Francisco Giants vs New York Yankees
Total,UNDER 8.5,-109.0,0.1012,0.4978,0.599,True,0.9174,2026-03-27,San Francisco Giants vs New York Yankees
Moneyline,Miami Marlins ML,-195.5,0.1234,0.6346,0.758,True,0.5115,2026-03-27,Miami Marlins vs Colorado Rockies
Moneyline,Atlanta Braves ML,-140.0,0.2226,0.5604,0.783,True,0.7143,2026-03-27,Atlanta Braves vs Kansas City Royals
Run Line,Atlanta Braves -1.5,153.5,0.092,0.3778,0.4698,True,1.535,2026-03-27,Atlanta Braves vs Kansas City Royals
Moneyline,Los Angeles Angels ML,144.0,0.25,0.3943,0.691,True,1.44,2026-03-27,Houston Astros vs Los Angeles Angels
Total,UNDER 7.0,-115.0,0.0678,0.5108,0.5787,True,0.8696,2026-03-27,Seattle Mariners vs Cleveland Guardians
Moneyline,Los Angeles Dodgers ML,-240.0,0.1061,0.6759,0.782,True,0.4167,2026-03-27,Los Angeles Dodgers vs Arizona Diamondbacks
Total,OVER  7.5,100.0,0.1266,0.4783,0.6048,True,1.0,2026-03-28,St. Louis Cardinals vs Tampa Bay Rays
Moneyline,Chicago Cubs ML,-250.0,0.0871,0.6829,0.77,True,0.4,2026-03-28,Chicago Cubs vs Washington Nationals
Total,UNDER 8.5,100.0,0.099,0.4783,0.5773,False,-1.0,2026-03-28,Chicago Cubs vs Washington Nationals
Total,OVER  7.5,-113.5,0.1153,0.5076,0.6229,False,-1.0,2026-03-28,Baltimore Orioles vs Minnesota Twins
Moneyline,Texas Rangers ML,123.5,0.25,0.4288,0.783,True,1.235,2026-03-28,Philadelphia Phillies vs Texas Rangers
Moneyline,Cincinnati Reds ML,115.0,0.25,0.4474,0.734,True,1.15,2026-03-28,Cincinnati Reds vs Boston Red Sox
Moneyline,Pittsburgh Pirates ML,145.0,0.25,0.392,0.782,False,-1.0,2026-03-28,New York Mets vs Pittsburgh Pirates
Moneyline,Miami Marlins ML,-195.5,0.1413,0.6337,0.775,True,0.5115,2026-03-28,Miami Marlins vs Colorado Rockies
