type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Total,UNDER 10.5,-113.0,0.0879,0.5161,0.604,True,0.885,2026-07-04,Washington Nationals vs Pittsburgh Pirates
Moneyline,Minnesota Twins ML,135.0,0.2347,0.4183,0.653,True,1.35,2026-07-04,New York Yankees vs Minnesota Twins
Total,UNDER 10.5,-105.0,0.1707,0.5024,0.6731,False,-1.0,2026-07-04,New York Yankees vs Minnesota Twins
Moneyline,Detroit Tigers ML,-119.0,0.2122,0.5318,0.744,True,0.8403,2026-07-04,Texas Rangers vs Detroit Tigers
Total,UNDER 8.5,-106.0,0.0737,0.5035,0.5773,True,0.9434,2026-07-04,Texas Rangers vs Detroit Tigers
Total,UNDER 7.5,-108.0,0.1055,0.5094,0.6149,False,-1.0,2026-07-04,Seattle Mariners vs Toronto Blue Jays
Total,UNDER 9.5,-115.0,0.105,0.523,0.628,False,-1.0,2026-07-04,Cincinnati Reds vs Baltimore Orioles
Moneyline,Tampa Bay Rays ML,101.0,0.25,0.4861,0.778,False,-1.0,2026-07-04,Houston Astros vs Tampa Bay Rays
Run Line,Tampa Bay Rays +1.5,172.0,0.1074,0.3594,0.4668,False,-1.0,2026-07-04,Houston Astros vs Tampa Bay Rays
Moneyline,Chicago White Sox ML,122.0,0.1893,0.4427,0.632,True,1.22,2026-07-04,Cleveland Guardians vs Chicago White Sox
Moneyline,Atlanta Braves ML,-186.0,0.0935,0.6405,0.734,True,0.5376,2026-07-04,Atlanta Braves vs New York Mets
Total,UNDER 12.5,-108.0,0.1977,0.5023,0.7,True,0.9259,2026-07-04,Colorado Rockies vs San Francisco Giants
Moneyline,Philadelphia Phillies ML,-155.0,0.1787,0.5923,0.771,True,0.6452,2026-07-04,Kansas City Royals vs Philadelphia Phillies
Total,UNDER 9.5,-125.0,0.1069,0.5466,0.6535,True,0.8,2026-07-04,Kansas City Royals vs Philadelphia Phillies
Moneyline,Boston Red Sox ML,-167.0,0.1622,0.6128,0.775,True,0.5988,2026-07-04,Los Angeles Angels vs Boston Red Sox
Total,UNDER 8.5,-109.0,0.0673,0.5081,0.5754,False,-1.0,2026-07-04,Los Angeles Angels vs Boston Red Sox
Moneyline,Miami Marlins ML,-131.0,0.1518,0.5562,0.708,True,0.7634,2026-07-04,Athletics vs Miami Marlins
Total,UNDER 11.5,-113.0,0.179,0.521,0.7,True,0.885,2026-07-04,Athletics vs Miami Marlins
Moneyline,Milwaukee Brewers ML,-157.0,0.1735,0.5995,0.773,False,-1.0,2026-07-04,Arizona Diamondbacks vs Milwaukee Brewers
Total,UNDER 9.5,-114.0,0.1254,0.5268,0.6522,True,0.8772,2026-07-04,Arizona Diamondbacks vs Milwaukee Brewers
Moneyline,Los Angeles Dodgers ML,-250.0,0.0731,0.7009,0.774,True,0.4,2026-07-04,Los Angeles Dodgers vs San Diego Padres
Total,UNDER 8.5,101.0,0.0962,0.4861,0.5822,True,1.01,2026-07-04,Los Angeles Dodgers vs San Diego Padres
