type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Moneyline,Miami Marlins ML,121.0,0.25,0.4333,0.708,True,1.21,2026-06-12,Pittsburgh Pirates vs Miami Marlins
Moneyline,Baltimore Orioles ML,-130.0,0.2253,0.5427,0.768,True,0.7692,2026-06-12,Baltimore Orioles vs San Diego Padres
Run Line,Baltimore Orioles -1.5,144.0,0.0676,0.3932,0.4608,True,1.44,2026-06-12,Baltimore Orioles vs San Diego Padres
Total,UNDER 9.5,-110.0,0.1522,0.5,0.6522,False,-1.0,2026-06-12,Baltimore Orioles vs San Diego Padres
Moneyline,Detroit Tigers ML,104.5,0.25,0.4681,0.767,False,-1.0,2026-06-12,Cleveland Guardians vs Detroit Tigers
Run Line,Detroit Tigers +1.5,153.5,0.0913,0.3689,0.4602,False,-1.0,2026-06-12,Cleveland Guardians vs Detroit Tigers
Total,UNDER 8.5,-105.0,0.0956,0.4892,0.5847,True,0.9524,2026-06-12,Cleveland Guardians vs Detroit Tigers
Total,UNDER 8.5,-115.0,0.161,0.5108,0.6719,False,-1.0,2026-06-12,Boston Red Sox vs Texas Rangers
Total,UNDER 10.0,-115.0,0.1584,0.5108,0.6692,True,0.8696,2026-06-12,Cincinnati Reds vs Arizona Diamondbacks
Total,UNDER 8.0,-107.5,0.0935,0.4935,0.5871,False,-1.0,2026-06-12,New York Mets vs Atlanta Braves
Moneyline,New York Yankees ML,102.0,0.1466,0.4744,0.621,False,-1.0,2026-06-12,Toronto Blue Jays vs New York Yankees
Moneyline,St. Louis Cardinals ML,115.5,0.25,0.4445,0.723,False,-1.0,2026-06-12,Minnesota Twins vs St. Louis Cardinals
Total,UNDER 9.0,-105.0,0.1007,0.4892,0.5898,False,-1.0,2026-06-12,Minnesota Twins vs St. Louis Cardinals
Moneyline,Los Angeles Angels ML,138.0,0.2101,0.4029,0.613,True,1.38,2026-06-12,Los Angeles Angels vs Tampa Bay Rays
Total,UNDER 13.5,-105.0,0.2,0.4877,0.7,True,0.9524,2026-06-12,Athletics vs Colorado Rockies
Moneyline,San Francisco Giants ML,-125.0,0.1005,0.5325,0.633,False,-1.0,2026-06-12,San Francisco Giants vs Chicago Cubs
