date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,model_bias,ou_line,ou_result
2026-06-21,New York Yankees,Cincinnati Reds,1,4,5,Cincinnati Reds,New York Yankees,64.1,35.9,False,64.1,8.8,3.8000000000000007,False,HIGH,8.5,UNDER
2026-06-21,Atlanta Braves,Milwaukee Brewers,4,9,13,Milwaukee Brewers,Milwaukee Brewers,22.7,77.3,True,77.3,9.03,3.9700000000000006,True,LOW,8.5,OVER
2026-06-21,Tampa Bay Rays,Washington Nationals,4,3,7,Tampa Bay Rays,Washington Nationals,23.6,76.4,False,76.4,8.94,1.9399999999999995,False,HIGH,8.5,UNDER
2026-06-21,Detroit Tigers,Chicago White Sox,5,4,9,Detroit Tigers,Detroit Tigers,74.9,25.1,True,74.9,8.85,0.15000000000000036,False,LOW,8.5,OVER
2026-06-21,Miami Marlins,San Francisco Giants,2,1,3,Miami Marlins,Miami Marlins,54.8,45.2,True,54.8,7.26,4.26,False,HIGH,8.5,UNDER
2026-06-21,Houston Astros,Cleveland Guardians,2,1,3,Houston Astros,Houston Astros,57.7,42.3,True,57.7,7.39,4.39,False,HIGH,8.5,UNDER
2026-06-21,Kansas City Royals,St. Louis Cardinals,10,12,22,St. Louis Cardinals,Kansas City Royals,50.3,49.7,False,50.3,11.04,10.96,False,LOW,8.5,OVER
2026-06-21,Texas Rangers,San Diego Padres,4,3,7,Texas Rangers,San Diego Padres,31.9,68.1,False,68.1,8.13,1.1300000000000008,False,HIGH,8.0,UNDER
2026-06-21,Colorado Rockies,Pittsburgh Pirates,6,8,14,Pittsburgh Pirates,Colorado Rockies,50.3,49.7,False,50.3,11.06,2.9399999999999995,False,LOW,11.5,OVER
2026-06-21,Arizona Diamondbacks,Minnesota Twins,2,4,6,Minnesota Twins,Arizona Diamondbacks,50.9,49.1,False,50.9,11.01,5.01,False,HIGH,9.5,UNDER
2026-06-21,Athletics,Los Angeles Angels,7,9,16,Los Angeles Angels,Los Angeles Angels,49.4,50.6,True,50.6,10.96,5.039999999999999,True,LOW,9.5,OVER
2026-06-21,Los Angeles Dodgers,Baltimore Orioles,1,12,13,Baltimore Orioles,Baltimore Orioles,44.1,55.9,True,55.9,8.15,4.85,True,LOW,9.5,OVER
2026-06-21,Seattle Mariners,Boston Red Sox,3,1,4,Seattle Mariners,Boston Red Sox,49.4,50.6,False,50.6,7.0,3.0,False,HIGH,6.5,UNDER
2026-06-21,Philadelphia Phillies,New York Mets,6,2,8,Philadelphia Phillies,Philadelphia Phillies,76.6,23.4,True,76.6,9.17,1.17,True,HIGH,8.5,UNDER
2026-06-21,Chicago Cubs,Toronto Blue Jays,0,0,0,Toronto Blue Jays,Chicago Cubs,77.7,22.3,False,77.7,9.01,9.01,False,HIGH,,
