type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Total,UNDER 7.5,-115.0,0.1128,0.5108,0.6236,True,0.8696,2026-05-27,Toronto Blue Jays vs Miami Marlins
Total,UNDER 7.5,-103.5,0.1446,0.4859,0.6305,True,0.9662,2026-05-27,Cleveland Guardians vs Washington Nationals
Moneyline,Milwaukee Brewers ML,-179.0,0.1274,0.6126,0.74,True,0.5587,2026-05-27,Milwaukee Brewers vs St. Louis Cardinals
Moneyline,Seattle Mariners ML,-120.0,0.25,0.5217,0.774,True,0.8333,2026-05-27,Athletics vs Seattle Mariners
Run Line,Seattle Mariners +1.5,135.0,0.057,0.4074,0.4644,True,1.35,2026-05-27,Athletics vs Seattle Mariners
Total,UNDER 9.0,-115.0,0.102,0.5108,0.6129,False,-1.0,2026-05-27,Athletics vs Seattle Mariners
Moneyline,Arizona Diamondbacks ML,-115.0,0.25,0.5108,0.775,True,0.8696,2026-05-27,San Francisco Giants vs Arizona Diamondbacks
Run Line,Arizona Diamondbacks +1.5,145.0,0.073,0.392,0.465,False,-1.0,2026-05-27,San Francisco Giants vs Arizona Diamondbacks
Total,UNDER 7.0,-116.0,0.0762,0.513,0.5893,True,0.8621,2026-05-27,San Diego Padres vs Philadelphia Phillies
Total,UNDER 7.5,-110.0,0.1106,0.5,0.6106,True,0.9091,2026-05-27,Detroit Tigers vs Los Angeles Angels
Moneyline,Pittsburgh Pirates ML,-125.0,0.2425,0.5325,0.775,False,-1.0,2026-05-27,Pittsburgh Pirates vs Chicago Cubs
Run Line,Pittsburgh Pirates -1.5,153.5,0.0913,0.3737,0.465,False,-1.0,2026-05-27,Pittsburgh Pirates vs Chicago Cubs
Total,OVER  9.0,-2.5,0.2,0.0432,0.3859,True,10.0,2026-05-27,Pittsburgh Pirates vs Chicago Cubs
Total,UNDER 8.25,-111.0,0.1638,0.4943,0.6581,True,0.9009,2026-05-27,Boston Red Sox vs Atlanta Braves
Moneyline,Chicago White Sox ML,-110.0,0.136,0.5,0.636,True,0.9091,2026-05-27,Chicago White Sox vs Minnesota Twins
Moneyline,New York Yankees ML,-158.0,0.1935,0.5885,0.782,True,0.6329,2026-05-27,Kansas City Royals vs New York Yankees
Total,UNDER 8.5,-105.0,0.0862,0.4892,0.5754,True,0.9524,2026-05-27,Kansas City Royals vs New York Yankees
Moneyline,Texas Rangers ML,-145.5,0.0577,0.5693,0.627,False,-1.0,2026-05-27,Texas Rangers vs Houston Astros
