type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Moneyline,Cleveland Guardians ML,-137.0,0.0739,0.5541,0.628,True,0.7299,2026-05-12,Cleveland Guardians vs Los Angeles Angels
Total,UNDER 8.5,-105.0,0.1622,0.4892,0.6513,True,0.9524,2026-05-12,Cleveland Guardians vs Los Angeles Angels
Moneyline,New York Yankees ML,-139.0,0.2099,0.5591,0.769,True,0.7194,2026-05-12,Baltimore Orioles vs New York Yankees
Total,UNDER 8.5,-0.5,0.2,0.009,0.5773,True,10.0,2026-05-12,Baltimore Orioles vs New York Yankees
Moneyline,Pittsburgh Pirates ML,-291.5,0.0602,0.7138,0.774,True,0.3431,2026-05-12,Pittsburgh Pirates vs Colorado Rockies
Total,UNDER 8.0,-107.5,0.1691,0.492,0.6611,True,0.9302,2026-05-12,Boston Red Sox vs Philadelphia Phillies
Total,UNDER 8.0,-110.0,0.1269,0.5,0.6269,False,-1.0,2026-05-12,Toronto Blue Jays vs Tampa Bay Rays
Total,UNDER 7.5,-115.0,0.0798,0.5108,0.5906,False,-1.0,2026-05-12,New York Mets vs Detroit Tigers
Moneyline,Atlanta Braves ML,-122.0,0.2157,0.5273,0.743,True,0.8197,2026-05-12,Atlanta Braves vs Chicago Cubs
Total,UNDER 8.5,-105.0,0.0956,0.4892,0.5847,True,0.9524,2026-05-12,Atlanta Braves vs Chicago Cubs
Moneyline,Chicago White Sox ML,-105.0,0.0988,0.4892,0.588,True,0.9524,2026-05-12,Chicago White Sox vs Kansas City Royals
Total,UNDER 9.5,-120.0,0.1747,0.5217,0.6964,False,-1.0,2026-05-12,Chicago White Sox vs Kansas City Royals
Total,UNDER 9.0,-104.5,0.1071,0.4871,0.5942,True,0.9569,2026-05-12,Minnesota Twins vs Miami Marlins
Moneyline,Milwaukee Brewers ML,-150.0,0.1125,0.5745,0.687,True,0.6667,2026-05-12,Milwaukee Brewers vs San Diego Padres
Total,UNDER 8.5,-105.0,0.136,0.4892,0.6252,False,-1.0,2026-05-12,Milwaukee Brewers vs San Diego Padres
Total,UNDER 8.0,-115.0,0.1528,0.5108,0.6636,False,-1.0,2026-05-12,Texas Rangers vs Arizona Diamondbacks
Moneyline,Seattle Mariners ML,-200.0,0.0981,0.6399,0.738,True,0.5,2026-05-12,Houston Astros vs Seattle Mariners
Total,UNDER 8.5,-1.0,0.2,0.0178,0.6028,False,-1.0,2026-05-12,Houston Astros vs Seattle Mariners
Moneyline,St. Louis Cardinals ML,135.0,0.2156,0.4074,0.623,True,1.35,2026-05-12,Athletics vs St. Louis Cardinals
Total,UNDER 10.0,-117.5,0.1867,0.5133,0.7,False,-1.0,2026-05-12,Athletics vs St. Louis Cardinals
Total,UNDER 8.5,-115.0,0.1025,0.5108,0.6134,True,0.8696,2026-05-12,Los Angeles Dodgers vs San Francisco Giants
