type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Total,UNDER 10.75,-10.0,0.2,0.1426,0.624,False,-1.0,2026-07-03,Chicago Cubs vs St. Louis Cardinals
Total,UNDER 10.0,-115.5,0.1375,0.5031,0.6406,True,0.8658,2026-07-03,New York Yankees vs Minnesota Twins
Moneyline,Baltimore Orioles ML,-125.0,0.1435,0.5325,0.676,True,0.8,2026-07-03,Cincinnati Reds vs Baltimore Orioles
Total,UNDER 10.5,-110.0,0.2,0.4979,0.7,True,0.9091,2026-07-03,Cincinnati Reds vs Baltimore Orioles
Moneyline,Chicago White Sox ML,110.0,0.2268,0.4552,0.682,False,-1.0,2026-07-03,Cleveland Guardians vs Chicago White Sox
Total,UNDER 8.0,-105.5,0.1004,0.4897,0.5902,True,0.9479,2026-07-03,Cleveland Guardians vs Chicago White Sox
Total,UNDER 9.0,-115.0,0.1897,0.5103,0.7,True,0.8696,2026-07-03,Atlanta Braves vs New York Mets
Total,UNDER 11.5,-113.5,0.1736,0.5048,0.6784,False,-1.0,2026-07-03,Colorado Rockies vs San Francisco Giants
Moneyline,Tampa Bay Rays ML,-110.0,0.25,0.5,0.771,True,0.9091,2026-07-03,Houston Astros vs Tampa Bay Rays
Run Line,Tampa Bay Rays +1.5,145.5,0.0745,0.3881,0.4626,True,1.455,2026-07-03,Houston Astros vs Tampa Bay Rays
Total,UNDER 9.0,-110.0,0.1154,0.5,0.6154,True,0.9091,2026-07-03,Houston Astros vs Tampa Bay Rays
Moneyline,Boston Red Sox ML,-105.0,0.1508,0.4892,0.64,True,0.9524,2026-07-03,Los Angeles Angels vs Boston Red Sox
Moneyline,Miami Marlins ML,118.5,0.2172,0.4378,0.655,True,1.185,2026-07-03,Athletics vs Miami Marlins
Total,UNDER 11.0,-117.0,0.1883,0.5117,0.7,False,-1.0,2026-07-03,Athletics vs Miami Marlins
Moneyline,Milwaukee Brewers ML,-139.0,0.2134,0.5556,0.769,True,0.7194,2026-07-03,Arizona Diamondbacks vs Milwaukee Brewers
Total,UNDER 8.5,-108.5,0.0871,0.4952,0.5822,False,-1.0,2026-07-03,Arizona Diamondbacks vs Milwaukee Brewers
Moneyline,Los Angeles Dodgers ML,-274.5,0.0759,0.7011,0.777,True,0.3643,2026-07-03,Los Angeles Dodgers vs San Diego Padres
Total,UNDER 7.0,-110.5,0.0887,0.5005,0.5893,True,0.905,2026-07-03,Seattle Mariners vs Toronto Blue Jays
