type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Total,UNDER 8.0,-110.5,0.1544,0.5005,0.6549,True,0.905,2026-06-15,Philadelphia Phillies vs Miami Marlins
Moneyline,Washington Nationals ML,-139.0,0.1634,0.5556,0.719,True,0.7194,2026-06-15,Washington Nationals vs Kansas City Royals
Run Line,Washington Nationals -1.5,152.0,0.0525,0.3789,0.4314,True,1.52,2026-06-15,Washington Nationals vs Kansas City Royals
Total,UNDER 9.5,-109.5,0.1248,0.4963,0.6211,False,-1.0,2026-06-15,Washington Nationals vs Kansas City Royals
Moneyline,Cincinnati Reds ML,-136.0,0.0948,0.5522,0.647,True,0.7353,2026-06-15,Cincinnati Reds vs New York Mets
Total,OVER  9.0,-2.0,0.2,0.0347,0.3672,True,10.0,2026-06-15,Cincinnati Reds vs New York Mets
Moneyline,St. Louis Cardinals ML,-157.5,0.1585,0.5845,0.743,True,0.6349,2026-06-15,St. Louis Cardinals vs San Diego Padres
Total,UNDER 8.5,-110.5,0.0935,0.5005,0.5941,True,0.905,2026-06-15,St. Louis Cardinals vs San Diego Padres
Moneyline,Texas Rangers ML,-152.0,0.1112,0.5758,0.687,False,-1.0,2026-06-15,Texas Rangers vs Minnesota Twins
Moneyline,Detroit Tigers ML,105.0,0.25,0.4675,0.78,True,1.05,2026-06-15,Houston Astros vs Detroit Tigers
Total,UNDER 9.0,-110.0,0.1154,0.5,0.6154,False,-1.0,2026-06-15,Houston Astros vs Detroit Tigers
Moneyline,Los Angeles Angels ML,120.0,0.25,0.4344,0.776,False,-1.0,2026-06-15,Arizona Diamondbacks vs Los Angeles Angels
Total,UNDER 9.0,-115.0,0.1106,0.5085,0.6191,True,0.8696,2026-06-15,Arizona Diamondbacks vs Los Angeles Angels
Total,UNDER 10.25,-112.5,0.0946,0.5,0.5946,False,-1.0,2026-06-15,Athletics vs Pittsburgh Pirates
Moneyline,Los Angeles Dodgers ML,-188.0,0.1536,0.6224,0.776,True,0.5319,2026-06-15,Los Angeles Dodgers vs Tampa Bay Rays
Total,OVER  9.5,-2.5,0.2,0.0425,0.3484,False,-1.0,2026-06-15,Los Angeles Dodgers vs Tampa Bay Rays
