date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,model_bias,ou_line,ou_result
2026-08-11,Detroit Tigers,Cleveland Guardians,6,4,10,Detroit Tigers,Detroit Tigers,77.4,22.6,True,77.4,8.97,1.0299999999999994,True,LOW,,
2026-08-11,Miami Marlins,Pittsburgh Pirates,2,0,2,Miami Marlins,Miami Marlins,60.6,39.4,True,60.6,7.56,5.56,True,HIGH,,
2026-08-11,Washington Nationals,Chicago Cubs,6,8,14,Chicago Cubs,Chicago Cubs,22.8,77.2,True,77.2,9.03,4.970000000000001,True,LOW,,
2026-08-11,New York Yankees,Seattle Mariners,4,1,5,New York Yankees,New York Yankees,50.5,49.5,True,50.5,6.95,1.9500000000000002,True,HIGH,,
2026-08-11,Toronto Blue Jays,Boston Red Sox,5,3,8,Toronto Blue Jays,Boston Red Sox,25.5,74.5,False,74.5,8.65,0.6500000000000004,False,HIGH,,
2026-08-11,Atlanta Braves,New York Mets,4,0,4,Atlanta Braves,Atlanta Braves,58.8,41.2,True,58.8,8.12,4.119999999999999,True,HIGH,,
2026-08-11,Minnesota Twins,Baltimore Orioles,2,5,7,Baltimore Orioles,Minnesota Twins,68.3,31.7,False,68.3,8.21,1.2100000000000009,False,HIGH,,
2026-08-11,Chicago White Sox,Cincinnati Reds,4,5,9,Cincinnati Reds,Chicago White Sox,59.5,40.5,False,59.5,8.1,0.9000000000000004,False,LOW,,
2026-08-11,St. Louis Cardinals,Philadelphia Phillies,2,0,2,St. Louis Cardinals,Philadelphia Phillies,22.6,77.4,False,77.4,8.99,6.99,False,HIGH,,
2026-08-11,Los Angeles Angels,Texas Rangers,3,2,5,Los Angeles Angels,Texas Rangers,45.6,54.4,False,54.4,7.25,2.25,False,HIGH,,
2026-08-11,Arizona Diamondbacks,Colorado Rockies,2,3,5,Colorado Rockies,Arizona Diamondbacks,50.4,49.6,False,50.4,10.92,5.92,False,HIGH,,
2026-08-11,Athletics,Tampa Bay Rays,4,12,16,Tampa Bay Rays,Tampa Bay Rays,22.0,78.0,True,78.0,8.99,7.01,True,LOW,,
2026-08-11,San Diego Padres,Milwaukee Brewers,11,2,13,San Diego Padres,Milwaukee Brewers,49.6,50.4,False,50.4,7.02,5.98,False,LOW,,
2026-08-11,San Francisco Giants,Houston Astros,4,1,5,San Francisco Giants,Houston Astros,21.8,78.2,False,78.2,9.04,4.039999999999999,False,HIGH,,
2026-08-11,Los Angeles Dodgers,Kansas City Royals,5,4,9,Los Angeles Dodgers,Los Angeles Dodgers,59.9,40.1,True,59.9,8.12,0.8800000000000008,False,LOW,,
