type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Moneyline,San Francisco Giants ML,144.5,0.1972,0.3938,0.591,False,-1.0,2026-09-03,Pittsburgh Pirates vs San Francisco Giants
Total,UNDER 9.0,-115.0,0.2,0.5108,0.8416,True,0.8696,2026-09-03,Pittsburgh Pirates vs San Francisco Giants
Run Line,Cleveland Guardians +1.5,-189.0,0.0867,0.6238,0.7105,False,-1.0,2026-09-03,Cleveland Guardians vs Toronto Blue Jays
Total,UNDER 7.75,-112.0,0.18,0.5038,0.6838,False,-1.0,2026-09-03,Cleveland Guardians vs Toronto Blue Jays
Run Line,Chicago White Sox +1.5,-155.0,0.112,0.5819,0.6939,False,-1.0,2026-09-03,Houston Astros vs Chicago White Sox
Total,UNDER 8.5,-111.0,0.2,0.5022,0.7186,True,0.9009,2026-09-03,Houston Astros vs Chicago White Sox
Moneyline,Baltimore Orioles ML,100.0,0.25,0.4783,0.737,False,-1.0,2026-09-03,Baltimore Orioles vs Boston Red Sox
Moneyline,Kansas City Royals ML,-120.0,0.1063,0.5217,0.628,True,0.8333,2026-09-03,Kansas City Royals vs Miami Marlins
Run Line,Kansas City Royals +1.5,-189.0,0.1655,0.6251,0.7906,True,0.5291,2026-09-03,Kansas City Royals vs Miami Marlins
Moneyline,Tampa Bay Rays ML,-125.0,0.0737,0.5343,0.608,False,-1.0,2026-09-03,Texas Rangers vs Tampa Bay Rays
Run Line,Tampa Bay Rays -1.5,135.0,0.1486,0.4074,0.556,False,-1.0,2026-09-03,Texas Rangers vs Tampa Bay Rays
Total,OVER  7.5,-105.0,0.2,0.4892,0.6939,True,0.9524,2026-09-03,Seattle Mariners vs Athletics
