date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,model_bias,ou_line,ou_result
2026-06-25,Tampa Bay Rays,Kansas City Royals,13,2,15,Tampa Bay Rays,Tampa Bay Rays,50.4,49.6,True,50.4,10.98,4.02,True,LOW,8.0,OVER
2026-06-25,Pittsburgh Pirates,Seattle Mariners,5,1,6,Pittsburgh Pirates,Pittsburgh Pirates,72.8,27.2,True,72.8,8.51,2.51,True,HIGH,8.5,UNDER
2026-06-25,San Francisco Giants,Athletics,6,9,15,Athletics,San Francisco Giants,56.4,43.6,False,56.4,10.46,4.539999999999999,False,LOW,8.5,OVER
2026-06-25,Detroit Tigers,Houston Astros,1,2,3,Houston Astros,Houston Astros,49.4,50.6,True,50.6,7.0,4.0,False,HIGH,9.0,UNDER
2026-06-25,Washington Nationals,Philadelphia Phillies,5,10,15,Philadelphia Phillies,Philadelphia Phillies,33.8,66.2,True,66.2,9.91,5.09,True,LOW,8.5,OVER
2026-06-25,Toronto Blue Jays,Texas Rangers,5,6,11,Texas Rangers,Toronto Blue Jays,58.8,41.2,False,58.8,10.34,0.6600000000000001,False,LOW,8.0,OVER
2026-06-25,New York Mets,Chicago Cubs,3,4,7,Chicago Cubs,Chicago Cubs,26.1,73.9,True,73.9,9.31,2.3100000000000005,False,HIGH,8.5,UNDER
2026-06-25,Boston Red Sox,New York Yankees,6,3,9,Boston Red Sox,New York Yankees,43.2,56.8,False,56.8,7.5,1.5,False,LOW,8.0,OVER
2026-06-25,St. Louis Cardinals,Arizona Diamondbacks,0,0,0,Arizona Diamondbacks,Arizona Diamondbacks,42.0,58.0,True,58.0,10.05,10.05,False,HIGH,,
