date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,xruns_vs_actual
2026-04-08,Los Angeles Angels,Atlanta Braves,2,8,10,Atlanta Braves,Atlanta Braves,29.0,71.0,True,71.0,9.2,0.8000000000000007,True,UNDER
2026-04-08,New York Mets,Arizona Diamondbacks,2,7,9,Arizona Diamondbacks,Arizona Diamondbacks,22.1,77.9,True,77.9,9.05,0.05000000000000071,True,OVER
2026-04-08,Tampa Bay Rays,Chicago Cubs,2,6,8,Chicago Cubs,Chicago Cubs,23.1,76.9,True,76.9,9.03,1.0299999999999994,True,OVER
2026-04-08,Miami Marlins,Cincinnati Reds,7,4,11,Miami Marlins,Cincinnati Reds,43.5,56.5,False,56.5,8.86,2.1400000000000006,False,UNDER
2026-04-08,New York Yankees,Athletics,2,3,5,Athletics,New York Yankees,78.1,21.9,False,78.1,9.06,4.0600000000000005,False,OVER
2026-04-08,Minnesota Twins,Detroit Tigers,8,6,14,Minnesota Twins,Detroit Tigers,43.6,56.4,False,56.4,10.58,3.42,False,UNDER
2026-04-09,Miami Marlins,Cincinnati Reds,8,1,9,Miami Marlins,Cincinnati Reds,47.2,52.8,False,52.8,8.53,0.47000000000000064,False,UNDER
2026-04-09,New York Yankees,Athletics,0,1,1,Athletics,New York Yankees,77.7,22.3,False,77.7,9.01,8.01,False,OVER
2026-04-09,Minnesota Twins,Detroit Tigers,3,1,4,Minnesota Twins,Detroit Tigers,43.7,56.3,False,56.3,10.57,6.57,False,OVER
2026-04-09,New York Mets,Arizona Diamondbacks,1,7,8,Arizona Diamondbacks,Arizona Diamondbacks,27.6,72.4,True,72.4,8.52,0.5199999999999996,True,OVER
2026-04-09,Kansas City Royals,Chicago White Sox,0,2,2,Chicago White Sox,Chicago White Sox,39.5,60.5,True,60.5,10.19,8.19,True,OVER
2026-04-09,San Diego Padres,Colorado Rockies,7,3,10,San Diego Padres,San Diego Padres,63.9,36.1,True,63.9,7.77,2.2300000000000004,True,UNDER
2026-04-10,Chicago Cubs,Pittsburgh Pirates,0,2,2,Pittsburgh Pirates,Chicago Cubs,78.0,22.0,False,78.0,9.01,7.01,False,OVER
2026-04-10,Philadelphia Phillies,Arizona Diamondbacks,4,5,9,Arizona Diamondbacks,Arizona Diamondbacks,22.8,77.2,True,77.2,8.96,0.03999999999999915,False,UNDER
2026-04-10,Detroit Tigers,Miami Marlins,2,0,2,Detroit Tigers,Miami Marlins,41.9,58.1,False,58.1,9.59,7.59,False,OVER
2026-04-10,Cincinnati Reds,Los Angeles Angels,2,10,12,Los Angeles Angels,Cincinnati Reds,61.9,38.1,False,61.9,8.0,4.0,False,UNDER
2026-04-10,Toronto Blue Jays,Minnesota Twins,10,4,14,Toronto Blue Jays,Minnesota Twins,48.6,51.4,False,51.4,10.91,3.09,False,UNDER
2026-04-10,New York Mets,Athletics,0,4,4,Athletics,Athletics,23.9,76.1,True,76.1,8.88,4.880000000000001,True,OVER
2026-04-10,Tampa Bay Rays,New York Yankees,5,3,8,Tampa Bay Rays,New York Yankees,29.1,70.9,False,70.9,9.47,1.4700000000000006,False,OVER
2026-04-10,Baltimore Orioles,San Francisco Giants,3,6,9,San Francisco Giants,Baltimore Orioles,62.0,38.0,False,62.0,7.73,1.2699999999999996,False,UNDER
2026-04-10,Atlanta Braves,Cleveland Guardians,11,5,16,Atlanta Braves,Atlanta Braves,77.4,22.6,True,77.4,9.0,7.0,True,UNDER
2026-04-10,Kansas City Royals,Chicago White Sox,2,0,2,Kansas City Royals,Chicago White Sox,43.5,56.5,False,56.5,10.53,8.53,False,OVER
2026-04-10,Milwaukee Brewers,Washington Nationals,3,7,10,Washington Nationals,Milwaukee Brewers,59.0,41.0,False,59.0,10.33,0.33000000000000007,False,OVER
2026-04-10,St. Louis Cardinals,Boston Red Sox,3,2,5,St. Louis Cardinals,St. Louis Cardinals,73.4,26.6,True,73.4,8.56,3.5600000000000005,False,OVER
2026-04-10,San Diego Padres,Colorado Rockies,5,2,7,San Diego Padres,San Diego Padres,66.0,34.0,True,66.0,7.95,0.9500000000000002,True,OVER
2026-04-10,Seattle Mariners,Houston Astros,9,6,15,Seattle Mariners,Seattle Mariners,62.8,37.2,True,62.8,9.5,5.5,True,UNDER
2026-04-10,Los Angeles Dodgers,Texas Rangers,8,7,15,Los Angeles Dodgers,Los Angeles Dodgers,64.5,35.5,True,64.5,7.93,7.07,False,UNDER
2026-04-11,Philadelphia Phillies,Arizona Diamondbacks,4,3,7,Philadelphia Phillies,Arizona Diamondbacks,22.7,77.3,False,77.3,9.02,2.0199999999999996,False,OVER
2026-04-11,Detroit Tigers,Miami Marlins,6,1,7,Detroit Tigers,Miami Marlins,38.6,61.4,False,61.4,9.59,2.59,False,OVER
2026-04-11,Chicago Cubs,Pittsburgh Pirates,3,4,7,Pittsburgh Pirates,Chicago Cubs,77.7,22.3,False,77.7,8.99,1.9900000000000002,False,OVER
2026-04-11,Toronto Blue Jays,Minnesota Twins,4,7,11,Minnesota Twins,Minnesota Twins,35.9,64.1,True,64.1,9.92,1.08,True,UNDER
2026-04-11,Cincinnati Reds,Los Angeles Angels,7,3,10,Cincinnati Reds,Cincinnati Reds,51.0,49.0,True,51.0,8.78,1.2200000000000006,True,UNDER
2026-04-11,New York Mets,Athletics,6,11,17,Athletics,Athletics,22.2,77.8,True,77.8,8.92,8.08,True,UNDER
2026-04-11,Kansas City Royals,Chicago White Sox,2,0,2,Kansas City Royals,Chicago White Sox,41.2,58.8,False,58.8,10.28,8.28,False,OVER
2026-04-11,Tampa Bay Rays,New York Yankees,5,4,9,Tampa Bay Rays,New York Yankees,22.4,77.6,False,77.6,8.95,0.05000000000000071,False,UNDER
2026-04-11,Milwaukee Brewers,Washington Nationals,1,3,4,Washington Nationals,Milwaukee Brewers,63.2,36.8,False,63.2,10.01,6.01,False,OVER
2026-04-11,Baltimore Orioles,San Francisco Giants,6,2,8,Baltimore Orioles,Baltimore Orioles,52.6,47.4,True,52.6,7.12,0.8799999999999999,True,UNDER
2026-04-11,St. Louis Cardinals,Boston Red Sox,1,7,8,Boston Red Sox,St. Louis Cardinals,70.0,30.0,False,70.0,8.24,0.2400000000000002,False,OVER
2026-04-11,Atlanta Braves,Cleveland Guardians,0,6,6,Cleveland Guardians,Atlanta Braves,77.5,22.5,False,77.5,9.05,3.0500000000000007,False,OVER
2026-04-11,San Diego Padres,Colorado Rockies,9,5,14,San Diego Padres,San Diego Padres,71.2,28.8,True,71.2,8.44,5.5600000000000005,True,UNDER
