type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Moneyline,Baltimore Orioles ML,-194.0,0.0635,0.6455,0.709,False,-1.0,2026-06-28,Baltimore Orioles vs Washington Nationals
Total,UNDER 9.5,-111.0,0.1022,0.5176,0.6199,False,-1.0,2026-06-28,Baltimore Orioles vs Washington Nationals
Moneyline,Pittsburgh Pirates ML,-133.0,0.2021,0.5589,0.761,True,0.7519,2026-06-28,Pittsburgh Pirates vs Cincinnati Reds
Run Line,Pittsburgh Pirates -1.5,153.0,0.0694,0.3872,0.4566,True,1.53,2026-06-28,Pittsburgh Pirates vs Cincinnati Reds
Total,UNDER 9.5,-125.0,0.1044,0.5373,0.6417,False,-1.0,2026-06-28,Pittsburgh Pirates vs Cincinnati Reds
Moneyline,Texas Rangers ML,116.0,0.1986,0.4554,0.654,True,1.16,2026-06-28,Toronto Blue Jays vs Texas Rangers
Moneyline,Detroit Tigers ML,100.0,0.1415,0.4895,0.631,False,-1.0,2026-06-28,Detroit Tigers vs Houston Astros
Total,UNDER 8.5,-111.0,0.1368,0.5164,0.6532,False,-1.0,2026-06-28,Detroit Tigers vs Houston Astros
Total,UNDER 7.5,-108.0,0.1148,0.5107,0.6255,False,-1.0,2026-06-28,Cleveland Guardians vs Seattle Mariners
Moneyline,Tampa Bay Rays ML,-186.0,0.1381,0.6389,0.777,True,0.5376,2026-06-28,Tampa Bay Rays vs Arizona Diamondbacks
Moneyline,Philadelphia Phillies ML,-153.0,0.1839,0.5931,0.777,True,0.6536,2026-06-28,New York Mets vs Philadelphia Phillies
Moneyline,Chicago White Sox ML,-130.0,0.0965,0.5565,0.653,False,-1.0,2026-06-28,Chicago White Sox vs Kansas City Royals
Total,UNDER 8.5,-112.0,0.0941,0.5211,0.6152,True,0.8929,2026-06-28,Milwaukee Brewers vs Chicago Cubs
Moneyline,Miami Marlins ML,109.0,0.25,0.4682,0.775,False,-1.0,2026-06-28,St. Louis Cardinals vs Miami Marlins
Total,UNDER 9.5,-115.0,0.1257,0.5278,0.6535,True,0.8696,2026-06-28,St. Louis Cardinals vs Miami Marlins
Total,UNDER 7.5,-108.0,0.1208,0.5034,0.6243,True,0.9259,2026-06-28,San Francisco Giants vs Atlanta Braves
Moneyline,Los Angeles Dodgers ML,-130.0,0.196,0.552,0.748,True,0.7692,2026-06-28,San Diego Padres vs Los Angeles Dodgers
Moneyline,Boston Red Sox ML,-104.0,0.1958,0.5012,0.697,True,0.9615,2026-06-28,Boston Red Sox vs New York Yankees
