type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Total,UNDER 7.5,-115.0,0.0904,0.5108,0.6012,False,-1.0,2026-05-26,Cleveland Guardians vs Washington Nationals
Moneyline,Tampa Bay Rays ML,-115.0,0.2022,0.5108,0.713,False,-1.0,2026-05-26,Baltimore Orioles vs Tampa Bay Rays
Total,UNDER 9.0,-112.5,0.1087,0.5054,0.6141,False,-1.0,2026-05-26,Detroit Tigers vs Los Angeles Angels
Moneyline,Pittsburgh Pirates ML,-140.0,0.1792,0.5598,0.739,True,0.7143,2026-05-26,Pittsburgh Pirates vs Chicago Cubs
Run Line,Pittsburgh Pirates -1.5,150.0,0.0598,0.3836,0.4434,True,1.5,2026-05-26,Pittsburgh Pirates vs Chicago Cubs
Moneyline,Atlanta Braves ML,-108.5,0.1396,0.4984,0.638,True,0.9217,2026-05-26,Boston Red Sox vs Atlanta Braves
Total,UNDER 8.0,-110.0,0.1088,0.5,0.6088,False,-1.0,2026-05-26,Boston Red Sox vs Atlanta Braves
Moneyline,Toronto Blue Jays ML,-124.0,0.056,0.531,0.587,True,0.8065,2026-05-26,Toronto Blue Jays vs Miami Marlins
Total,UNDER 7.75,-110.0,0.1094,0.5,0.6094,False,-1.0,2026-05-26,Toronto Blue Jays vs Miami Marlins
Moneyline,Cincinnati Reds ML,-120.0,0.1186,0.5224,0.641,True,0.8333,2026-05-26,New York Mets vs Cincinnati Reds
Moneyline,Minnesota Twins ML,-115.0,0.2422,0.5108,0.753,True,0.8696,2026-05-26,Chicago White Sox vs Minnesota Twins
Run Line,Minnesota Twins +1.5,145.0,0.061,0.3908,0.4518,True,1.45,2026-05-26,Chicago White Sox vs Minnesota Twins
Moneyline,New York Yankees ML,-200.0,0.1404,0.6386,0.779,True,0.5,2026-05-26,Kansas City Royals vs New York Yankees
Total,UNDER 8.5,-105.0,0.0875,0.4892,0.5766,False,-1.0,2026-05-26,Kansas City Royals vs New York Yankees
Moneyline,Milwaukee Brewers ML,-219.0,0.058,0.657,0.715,True,0.4566,2026-05-26,Milwaukee Brewers vs St. Louis Cardinals
Moneyline,Seattle Mariners ML,-103.0,0.1417,0.4853,0.627,True,0.9709,2026-05-26,Athletics vs Seattle Mariners
Total,UNDER 9.5,-115.0,0.1892,0.5108,0.7,True,0.8696,2026-05-26,Athletics vs Seattle Mariners
Total,UNDER 7.5,-115.0,0.1178,0.5108,0.6286,True,0.8696,2026-05-26,San Diego Padres vs Philadelphia Phillies
Moneyline,Arizona Diamondbacks ML,-105.0,0.25,0.4892,0.742,True,0.9524,2026-05-26,San Francisco Giants vs Arizona Diamondbacks
Run Line,Arizona Diamondbacks +1.5,151.5,0.0662,0.379,0.4452,True,1.515,2026-05-26,San Francisco Giants vs Arizona Diamondbacks
Moneyline,Los Angeles Dodgers ML,-237.5,0.1021,0.6749,0.777,True,0.4211,2026-05-26,Los Angeles Dodgers vs Colorado Rockies
Total,UNDER 9.0,-112.5,0.1081,0.5054,0.6135,False,-1.0,2026-05-26,Los Angeles Dodgers vs Colorado Rockies
