Game,Bet,Odds,Book_Prob,Model_Prob,Edge,Rating,Type
Pittsburgh Pirates vs Seattle Mariners,Pittsburgh Pirates ML,+130,42.0%,77.1%,0.351478021059669,Strong,Moneyline
New York Mets vs Chicago Cubs,Chicago Cubs ML,-108,50.0%,70.8%,0.20800000000000002,Strong,Moneyline
Washington Nationals vs Philadelphia Phillies,OVER  8.5,-115,51.1%,71.4%,0.203654055615493,Strong,Total
Toronto Blue Jays vs Texas Rangers,OVER  8.0,-102,48.2%,65.4%,0.17183551874366454,Strong,Total
San Francisco Giants vs Athletics,OVER  8.0,-115,51.1%,67.8%,0.1674918609150896,Strong,Total
St. Louis Cardinals vs Arizona Diamondbacks,OVER  9.0,-108,49.7%,66.1%,0.16384036460290263,Strong,Total
Boston Red Sox vs New York Yankees,New York Yankees ML,-148,57.4%,71.9%,0.14476569152588925,Strong,Moneyline
New York Mets vs Chicago Cubs,Chicago Cubs +1.5,+146,38.9%,49.5%,0.10586618309395046,Good,Run Line
New York Mets vs Chicago Cubs,OVER  8.5,-115,51.1%,60.9%,0.0985725924192894,Good,Total
San Francisco Giants vs Athletics,San Francisco Giants ML,-130,54.4%,63.2%,0.08807773150902243,Good,Moneyline
Detroit Tigers vs Houston Astros,Detroit Tigers ML,-112,50.8%,57.8%,0.07026006191950451,Lean,Moneyline
