date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,model_bias,ou_line,ou_result
2026-09-24,Pittsburgh Pirates,St. Louis Cardinals,2,1,3,Pittsburgh Pirates,Pittsburgh Pirates,52.4,47.6,True,52.4,7.15,4.15,False,HIGH,7.0,UNDER
2026-09-24,Kansas City Royals,Chicago White Sox,1,9,10,Chicago White Sox,Chicago White Sox,40.2,59.8,True,59.8,10.31,0.3100000000000005,True,HIGH,8.5,OVER
2026-09-24,Chicago Cubs,Miami Marlins,2,1,3,Chicago Cubs,Chicago Cubs,62.7,37.3,True,62.7,10.15,7.15,False,HIGH,7.0,UNDER
2026-09-24,Texas Rangers,New York Mets,3,1,4,Texas Rangers,Texas Rangers,51.4,48.6,True,51.4,9.66,5.66,True,HIGH,8.5,UNDER
2026-09-24,Colorado Rockies,Arizona Diamondbacks,8,12,20,Arizona Diamondbacks,Arizona Diamondbacks,30.4,69.6,True,69.6,9.49,10.51,True,LOW,10.0,OVER
2026-09-24,Philadelphia Phillies,Milwaukee Brewers,1,5,6,Milwaukee Brewers,Milwaukee Brewers,22.3,77.7,True,77.7,8.99,2.99,True,HIGH,7.5,UNDER
2026-09-24,Boston Red Sox,Cleveland Guardians,0,1,1,Cleveland Guardians,Cleveland Guardians,49.5,50.5,True,50.5,7.0,6.0,False,HIGH,6.5,UNDER
2026-09-24,New York Yankees,Tampa Bay Rays,6,4,10,New York Yankees,New York Yankees,50.3,49.7,True,50.3,6.99,3.01,True,LOW,6.0,OVER
2026-09-24,Atlanta Braves,Cincinnati Reds,6,7,13,Cincinnati Reds,Atlanta Braves,77.2,22.8,False,77.2,8.99,4.01,False,LOW,8.25,OVER
2026-09-24,Athletics,Houston Astros,5,7,12,Houston Astros,Houston Astros,37.2,62.8,True,62.8,10.01,1.9900000000000002,True,LOW,11.0,OVER
2026-09-24,Seattle Mariners,Los Angeles Angels,4,6,10,Los Angeles Angels,Seattle Mariners,77.3,22.7,False,77.3,8.97,1.0299999999999994,False,LOW,7.0,OVER
2026-09-24,Los Angeles Dodgers,San Diego Padres,2,4,6,San Diego Padres,Los Angeles Dodgers,69.2,30.8,False,69.2,8.21,2.210000000000001,False,HIGH,7.5,UNDER
