date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,model_bias,ou_line,ou_result
2026-06-03,Washington Nationals,Miami Marlins,1,4,5,Miami Marlins,Washington Nationals,65.3,34.7,False,65.3,8.86,3.8599999999999994,False,HIGH,8.0,UNDER
2026-06-03,Tampa Bay Rays,Detroit Tigers,2,7,9,Detroit Tigers,Detroit Tigers,30.2,69.8,True,69.8,9.62,0.6199999999999992,True,HIGH,8.5,OVER
2026-06-03,Minnesota Twins,Chicago White Sox,0,8,8,Chicago White Sox,Chicago White Sox,22.2,77.8,True,77.8,9.06,1.0600000000000005,True,HIGH,9.0,UNDER
2026-06-03,Seattle Mariners,New York Mets,1,7,8,New York Mets,Seattle Mariners,72.0,28.0,False,72.0,8.48,0.4800000000000004,False,HIGH,7.5,OVER
2026-06-03,Philadelphia Phillies,San Diego Padres,3,2,5,Philadelphia Phillies,San Diego Padres,48.8,51.2,False,51.2,7.01,2.01,False,HIGH,8.0,UNDER
2026-06-03,Boston Red Sox,Baltimore Orioles,8,1,9,Boston Red Sox,Boston Red Sox,69.6,30.4,True,69.6,9.61,0.6099999999999994,True,HIGH,8.5,OVER
2026-06-03,New York Yankees,Cleveland Guardians,4,5,9,Cleveland Guardians,New York Yankees,77.4,22.6,False,77.4,8.96,0.03999999999999915,False,LOW,7.5,OVER
2026-06-03,Cincinnati Reds,Kansas City Royals,2,5,7,Kansas City Royals,Cincinnati Reds,74.5,25.5,False,74.5,9.19,2.1899999999999995,False,HIGH,8.0,UNDER
2026-06-03,Atlanta Braves,Toronto Blue Jays,7,3,10,Atlanta Braves,Atlanta Braves,77.6,22.4,True,77.6,9.01,0.9900000000000002,True,LOW,8.0,OVER
2026-06-03,Milwaukee Brewers,San Francisco Giants,0,1,1,San Francisco Giants,Milwaukee Brewers,77.8,22.2,False,77.8,9.02,8.02,False,HIGH,8.25,UNDER
2026-06-03,St. Louis Cardinals,Texas Rangers,5,3,8,St. Louis Cardinals,Texas Rangers,32.8,67.2,False,67.2,8.1,0.09999999999999964,False,HIGH,7.75,OVER
2026-06-03,Chicago Cubs,Athletics,4,5,9,Athletics,Chicago Cubs,69.7,30.3,False,69.7,9.56,0.5600000000000005,False,HIGH,8.5,OVER
2026-06-03,Houston Astros,Pittsburgh Pirates,11,9,20,Houston Astros,Pittsburgh Pirates,48.9,51.1,False,51.1,11.04,8.96,False,LOW,7.75,OVER
2026-06-03,Los Angeles Angels,Colorado Rockies,11,4,15,Los Angeles Angels,Los Angeles Angels,50.7,49.3,True,50.7,10.95,4.050000000000001,True,LOW,8.5,OVER
2026-06-03,Arizona Diamondbacks,Los Angeles Dodgers,0,7,7,Los Angeles Dodgers,Los Angeles Dodgers,22.3,77.7,True,77.7,9.03,2.0299999999999994,True,HIGH,8.5,UNDER
