type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Moneyline,Atlanta Braves ML,-141.5,0.2101,0.5609,0.771,True,0.7067,2026-05-19,Miami Marlins vs Atlanta Braves
Moneyline,Cleveland Guardians ML,-160.0,0.1838,0.5912,0.775,True,0.625,2026-05-19,Detroit Tigers vs Cleveland Guardians
Moneyline,Tampa Bay Rays ML,-115.0,0.25,0.5108,0.773,True,0.8696,2026-05-19,Tampa Bay Rays vs Baltimore Orioles
Moneyline,Philadelphia Phillies ML,-141.0,0.2263,0.5617,0.788,False,-1.0,2026-05-19,Philadelphia Phillies vs Cincinnati Reds
Run Line,Philadelphia Phillies -1.5,150.0,0.089,0.3838,0.4728,False,-1.0,2026-05-19,Philadelphia Phillies vs Cincinnati Reds
Total,UNDER 8.5,-110.5,0.0768,0.5011,0.5779,True,0.905,2026-05-19,Philadelphia Phillies vs Cincinnati Reds
Total,UNDER 8.5,100.0,0.1438,0.4783,0.6221,False,-1.0,2026-05-19,New York Yankees vs Toronto Blue Jays
Total,UNDER 8.75,-149.0,0.0926,0.6074,0.7,True,0.6711,2026-05-19,Kansas City Royals vs Boston Red Sox
Moneyline,Minnesota Twins ML,-136.5,0.1052,0.5538,0.659,False,-1.0,2026-05-19,Minnesota Twins vs Houston Astros
Total,UNDER 8.5,-105.0,0.1497,0.4892,0.6389,True,0.9524,2026-05-19,Minnesota Twins vs Houston Astros
Moneyline,Milwaukee Brewers ML,-120.0,0.25,0.5217,0.78,True,0.8333,2026-05-19,Chicago Cubs vs Milwaukee Brewers
Run Line,Milwaukee Brewers +1.5,140.5,0.0703,0.3977,0.468,True,1.405,2026-05-19,Chicago Cubs vs Milwaukee Brewers
Moneyline,St. Louis Cardinals ML,-115.0,0.1852,0.5108,0.696,True,0.8696,2026-05-19,St. Louis Cardinals vs Pittsburgh Pirates
Moneyline,Texas Rangers ML,-110.0,0.25,0.5,0.763,True,0.9091,2026-05-19,Colorado Rockies vs Texas Rangers
Run Line,Texas Rangers +1.5,144.0,0.0643,0.3935,0.4578,True,1.44,2026-05-19,Colorado Rockies vs Texas Rangers
Total,UNDER 10.0,-113.5,0.181,0.5082,0.6891,False,-1.0,2026-05-19,Colorado Rockies vs Texas Rangers
Moneyline,Athletics ML,116.5,0.25,0.4419,0.772,True,1.165,2026-05-19,Los Angeles Angels vs Athletics
Total,UNDER 9.0,-109.0,0.1139,0.4984,0.6123,False,-1.0,2026-05-19,Los Angeles Angels vs Athletics
Total,UNDER 8.0,-110.0,0.135,0.5,0.635,False,-1.0,2026-05-19,San Diego Padres vs Los Angeles Dodgers
Moneyline,Arizona Diamondbacks ML,-125.0,0.2335,0.5325,0.766,True,0.8,2026-05-19,Arizona Diamondbacks vs San Francisco Giants
Run Line,Arizona Diamondbacks -1.5,156.5,0.0865,0.3731,0.4596,True,1.565,2026-05-19,Arizona Diamondbacks vs San Francisco Giants
Total,UNDER 8.5,-110.0,0.0779,0.5,0.5779,True,0.9091,2026-05-19,Arizona Diamondbacks vs San Francisco Giants
Total,UNDER 8.0,-119.5,0.0994,0.5188,0.6182,True,0.8368,2026-05-19,Seattle Mariners vs Chicago White Sox
