type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Total,UNDER 7.5,-121.5,0.0582,0.5244,0.5826,False,-1.0,2026-06-10,Tampa Bay Rays vs Boston Red Sox
Moneyline,New York Yankees ML,100.0,0.25,0.4783,0.755,True,1.0,2026-06-10,Cleveland Guardians vs New York Yankees
Run Line,New York Yankees +1.5,158.5,0.086,0.367,0.453,True,1.585,2026-06-10,Cleveland Guardians vs New York Yankees
Total,UNDER 8.5,-115.0,0.1654,0.5108,0.6762,False,-1.0,2026-06-10,San Diego Padres vs Cincinnati Reds
Total,UNDER 9.5,-112.5,0.0761,0.5083,0.5844,False,-1.0,2026-06-10,Detroit Tigers vs Minnesota Twins
Total,UNDER 8.5,-109.0,0.0789,0.4984,0.5773,True,0.9174,2026-06-10,Miami Marlins vs Arizona Diamondbacks
Moneyline,Philadelphia Phillies ML,-135.5,0.226,0.553,0.779,True,0.738,2026-06-10,Toronto Blue Jays vs Philadelphia Phillies
Total,UNDER 9.0,-110.0,0.1135,0.5,0.6135,False,-1.0,2026-06-10,Toronto Blue Jays vs Philadelphia Phillies
Moneyline,St. Louis Cardinals ML,115.0,0.1734,0.4466,0.62,True,1.15,2026-06-10,New York Mets vs St. Louis Cardinals
Total,UNDER 8.5,-110.0,0.1569,0.5,0.6569,False,-1.0,2026-06-10,New York Mets vs St. Louis Cardinals
Total,UNDER 10.0,-1.5,0.2,0.0273,0.7,False,-1.0,2026-06-10,Kansas City Royals vs Texas Rangers
Total,UNDER 11.75,-113.5,0.193,0.5048,0.6977,True,0.8811,2026-06-10,Colorado Rockies vs Chicago Cubs
Total,UNDER 15.0,-113.5,0.1918,0.5082,0.7,True,0.8811,2026-06-10,Athletics vs Milwaukee Brewers
