type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Total,UNDER 9.5,-124.0,0.0503,0.5316,0.5819,False,-1.0,2026-06-07,Philadelphia Phillies vs Chicago White Sox
Moneyline,New York Yankees ML,-137.0,0.1745,0.5675,0.742,True,0.7299,2026-06-07,New York Yankees vs Boston Red Sox
Run Line,New York Yankees -1.5,153.0,0.0569,0.3883,0.4452,True,1.53,2026-06-07,New York Yankees vs Boston Red Sox
Moneyline,Seattle Mariners ML,109.0,0.2058,0.4722,0.678,False,-1.0,2026-06-07,Detroit Tigers vs Seattle Mariners
Total,UNDER 8.5,109.0,0.1549,0.4722,0.6271,False,-1.0,2026-06-07,Detroit Tigers vs Seattle Mariners
Moneyline,Miami Marlins ML,-102.0,0.1054,0.4976,0.603,True,0.9804,2026-06-07,Miami Marlins vs Tampa Bay Rays
Moneyline,Houston Astros ML,-106.0,0.25,0.5047,0.777,False,-1.0,2026-06-07,Houston Astros vs Athletics
Total,UNDER 9.5,-118.0,0.1246,0.5308,0.6554,True,0.8475,2026-06-07,Houston Astros vs Athletics
Moneyline,St. Louis Cardinals ML,-141.0,0.2063,0.5747,0.781,True,0.7092,2026-06-07,St. Louis Cardinals vs Cincinnati Reds
Run Line,St. Louis Cardinals -1.5,137.0,0.0551,0.4135,0.4686,True,1.37,2026-06-07,St. Louis Cardinals vs Cincinnati Reds
Total,UNDER 9.5,-115.0,0.1274,0.5242,0.6516,True,0.8696,2026-06-07,St. Louis Cardinals vs Cincinnati Reds
Moneyline,Texas Rangers ML,-135.0,0.1162,0.5638,0.68,True,0.7407,2026-06-07,Texas Rangers vs Cleveland Guardians
Total,UNDER 11.5,100.0,0.2,0.4884,0.6995,False,-1.0,2026-06-07,Colorado Rockies vs Milwaukee Brewers
Moneyline,Washington Nationals ML,115.0,0.25,0.4584,0.77,False,-1.0,2026-06-07,Arizona Diamondbacks vs Washington Nationals
Total,UNDER 8.5,-106.0,0.0719,0.5047,0.5766,True,0.9434,2026-06-07,Arizona Diamondbacks vs Washington Nationals
Moneyline,Los Angeles Dodgers ML,-240.0,0.0756,0.6964,0.772,False,-1.0,2026-06-07,Los Angeles Dodgers vs Los Angeles Angels
Total,UNDER 8.5,-116.0,0.0526,0.5252,0.5779,False,-1.0,2026-06-07,Los Angeles Dodgers vs Los Angeles Angels
Moneyline,New York Mets ML,-110.0,0.25,0.5129,0.775,True,0.9091,2026-06-07,San Diego Padres vs New York Mets
Run Line,New York Mets +1.5,157.0,0.0836,0.3814,0.465,True,1.57,2026-06-07,San Diego Padres vs New York Mets
