type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Moneyline,Washington Nationals ML,-102.5,0.1693,0.4837,0.653,False,-1.0,2026-06-03,Washington Nationals vs Miami Marlins
Moneyline,Detroit Tigers ML,118.0,0.25,0.4402,0.698,True,1.18,2026-06-03,Tampa Bay Rays vs Detroit Tigers
Moneyline,Chicago White Sox ML,124.0,0.25,0.4269,0.778,True,1.24,2026-06-03,Minnesota Twins vs Chicago White Sox
Total,UNDER 9.0,-110.5,0.1094,0.5016,0.611,True,0.905,2026-06-03,Minnesota Twins vs Chicago White Sox
Moneyline,Seattle Mariners ML,-140.0,0.1596,0.5604,0.72,False,-1.0,2026-06-03,Seattle Mariners vs New York Mets
Run Line,Seattle Mariners -1.5,155.0,0.0565,0.3755,0.432,False,-1.0,2026-06-03,Seattle Mariners vs New York Mets
Total,UNDER 8.0,-115.0,0.1528,0.5108,0.6636,True,0.8696,2026-06-03,Philadelphia Phillies vs San Diego Padres
Moneyline,Boston Red Sox ML,-153.5,0.1177,0.5783,0.696,True,0.6515,2026-06-03,Boston Red Sox vs Baltimore Orioles
Moneyline,New York Yankees ML,-135.0,0.2226,0.5514,0.774,False,-1.0,2026-06-03,New York Yankees vs Cleveland Guardians
Run Line,New York Yankees -1.5,161.0,0.0954,0.369,0.4644,False,-1.0,2026-06-03,New York Yankees vs Cleveland Guardians
Moneyline,Cincinnati Reds ML,-160.0,0.1538,0.5912,0.745,False,-1.0,2026-06-03,Cincinnati Reds vs Kansas City Royals
Moneyline,Atlanta Braves ML,-149.5,0.2019,0.5741,0.776,True,0.6689,2026-06-03,Atlanta Braves vs Toronto Blue Jays
Run Line,Atlanta Braves -1.5,140.0,0.0668,0.3988,0.4656,True,1.4,2026-06-03,Atlanta Braves vs Toronto Blue Jays
Moneyline,Milwaukee Brewers ML,-135.0,0.2283,0.5497,0.778,False,-1.0,2026-06-03,Milwaukee Brewers vs San Francisco Giants
Run Line,Milwaukee Brewers -1.5,150.0,0.0844,0.3824,0.4668,False,-1.0,2026-06-03,Milwaukee Brewers vs San Francisco Giants
Moneyline,Texas Rangers ML,-105.0,0.1828,0.4892,0.672,False,-1.0,2026-06-03,St. Louis Cardinals vs Texas Rangers
Total,UNDER 7.75,-115.0,0.0713,0.5058,0.577,False,-1.0,2026-06-03,St. Louis Cardinals vs Texas Rangers
Moneyline,Chicago Cubs ML,-135.0,0.145,0.552,0.697,False,-1.0,2026-06-03,Chicago Cubs vs Athletics
Total,OVER  7.75,-113.5,0.1075,0.4985,0.606,True,0.8811,2026-06-03,Houston Astros vs Pittsburgh Pirates
Moneyline,Los Angeles Dodgers ML,-219.0,0.12,0.657,0.777,True,0.4566,2026-06-03,Arizona Diamondbacks vs Los Angeles Dodgers
Total,UNDER 8.5,-117.0,0.0608,0.5146,0.5754,True,0.8547,2026-06-03,Arizona Diamondbacks vs Los Angeles Dodgers
