type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Total,UNDER 8.5,-106.5,0.1623,0.4909,0.6532,True,0.939,2026-06-22,Detroit Tigers vs New York Yankees
Moneyline,Kansas City Royals ML,155.0,0.2086,0.3744,0.583,True,1.55,2026-06-22,Tampa Bay Rays vs Kansas City Royals
Moneyline,Miami Marlins ML,-135.0,0.2272,0.5468,0.774,False,-1.0,2026-06-22,Miami Marlins vs Texas Rangers
Run Line,Miami Marlins -1.5,155.0,0.09,0.3744,0.4644,False,-1.0,2026-06-22,Miami Marlins vs Texas Rangers
Total,UNDER 8.5,-110.0,0.0779,0.5,0.5779,True,0.9091,2026-06-22,Miami Marlins vs Texas Rangers
Total,UNDER 9.5,-109.0,0.2,0.4957,0.7,True,0.9174,2026-06-22,Washington Nationals vs Philadelphia Phillies
Moneyline,Houston Astros ML,115.0,0.1434,0.4436,0.587,False,-1.0,2026-06-22,Toronto Blue Jays vs Houston Astros
Total,OVER  7.0,-111.0,0.0914,0.5011,0.5925,False,-1.0,2026-06-22,Toronto Blue Jays vs Houston Astros
Moneyline,Milwaukee Brewers ML,-155.0,0.1377,0.5793,0.717,True,0.6452,2026-06-22,Cincinnati Reds vs Milwaukee Brewers
Total,UNDER 9.5,-113.0,0.1803,0.5043,0.6846,True,0.885,2026-06-22,Cincinnati Reds vs Milwaukee Brewers
Total,UNDER 10.0,-110.0,0.0944,0.4995,0.5939,True,0.9091,2026-06-22,Minnesota Twins vs Los Angeles Dodgers
Moneyline,Boston Red Sox ML,-140.0,0.109,0.557,0.666,False,-1.0,2026-06-22,Colorado Rockies vs Boston Red Sox
Total,UNDER 11.75,-112.5,0.1973,0.5027,0.7,True,0.8889,2026-06-22,Colorado Rockies vs Boston Red Sox
Moneyline,Baltimore Orioles ML,-165.0,0.0605,0.5945,0.655,True,0.6061,2026-06-22,Los Angeles Angels vs Baltimore Orioles
Moneyline,San Diego Padres ML,-115.0,0.1572,0.5108,0.668,True,0.8696,2026-06-22,San Diego Padres vs Atlanta Braves
