type,bet,odds,edge,book_prob,model_prob,won,profit,date,game
Moneyline,Pittsburgh Pirates ML,105.0,0.2345,0.4675,0.702,True,1.05,2026-05-25,Pittsburgh Pirates vs Chicago Cubs
Total,UNDER 8.5,-114.5,0.0875,0.5103,0.5978,True,0.8734,2026-05-25,Pittsburgh Pirates vs Chicago Cubs
Moneyline,Tampa Bay Rays ML,-115.0,0.2462,0.5108,0.757,False,-1.0,2026-05-25,Baltimore Orioles vs Tampa Bay Rays
Run Line,Tampa Bay Rays +1.5,145.0,0.0634,0.3908,0.4542,False,-1.0,2026-05-25,Baltimore Orioles vs Tampa Bay Rays
Moneyline,Minnesota Twins ML,-110.0,0.25,0.5,0.754,False,-1.0,2026-05-25,Chicago White Sox vs Minnesota Twins
Run Line,Minnesota Twins +1.5,150.0,0.0702,0.3822,0.4524,False,-1.0,2026-05-25,Chicago White Sox vs Minnesota Twins
Total,UNDER 9.0,-115.0,0.1892,0.5108,0.7,True,0.8696,2026-05-25,Kansas City Royals vs New York Yankees
Total,OVER  7.5,-115.0,0.0927,0.5108,0.6036,True,0.8696,2026-05-25,New York Mets vs Cincinnati Reds
Moneyline,Arizona Diamondbacks ML,110.0,0.25,0.4568,0.78,True,1.1,2026-05-25,San Francisco Giants vs Arizona Diamondbacks
Total,UNDER 8.5,-115.0,0.1224,0.5108,0.6333,False,-1.0,2026-05-25,Cleveland Guardians vs Washington Nationals
Total,UNDER 7.0,100.0,0.1122,0.4783,0.5905,True,1.0,2026-05-25,San Diego Padres vs Philadelphia Phillies
Total,UNDER 8.0,-115.0,0.1534,0.5108,0.6643,False,-1.0,2026-05-25,Texas Rangers vs Houston Astros
Total,UNDER 7.5,-120.0,0.1031,0.5217,0.6249,False,-1.0,2026-05-25,Toronto Blue Jays vs Miami Marlins
Total,OVER  8.75,-10.0,0.2,0.1473,0.4034,False,-1.0,2026-05-25,Los Angeles Dodgers vs Colorado Rockies
Moneyline,Seattle Mariners ML,-110.0,0.156,0.5,0.656,True,0.9091,2026-05-25,Athletics vs Seattle Mariners
Total,UNDER 10.5,-105.0,0.2,0.4892,0.7,False,-1.0,2026-05-25,Athletics vs Seattle Mariners
